date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180620|0:44|14|Rick Cornell HELLMANN|Elke RONGEN|21|Konstantin AFINOGENOV|Irina KUZMENKO|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:44|21|Rick Cornell HELLMANN|Elke RONGEN|15|Konstantin AFINOGENOV|Irina KUZMENKO|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:44|21|Rick Cornell HELLMANN|Elke RONGEN|17|Konstantin AFINOGENOV|Irina KUZMENKO|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:29|21|Sam Seop LEE |Sun Ae LEE|18|David TOUPE|Emmanuelle OTT|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:29|21|Sam Seop LEE |Sun Ae LEE|11|David TOUPE|Emmanuelle OTT|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:30|21|Bernard LAPOINTE|Yuka CHOKYU|18|Riku VIHREASAARI|Mirka Seuina RAUTAKOSKI|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:30|21|Bernard LAPOINTE|Yuka CHOKYU|16|Riku VIHREASAARI|Mirka Seuina RAUTAKOSKI|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:18|21|Hary SUSANTO |Leani Ratri OKTILA|6|Antony FORSTER|Mary Margaret WILSON|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:18|21|Hary SUSANTO |Leani Ratri OKTILA|6|Antony FORSTER|Mary Margaret WILSON|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:20|21|Marcel ADAM |Katrin SEIBERT|16|Colin LESLIE|Megan HOLLANDER|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:20|21|Marcel ADAM |Katrin SEIBERT|15|Colin LESLIE|Megan HOLLANDER|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:15|21|Pavel KULIKOV|Ekaterina OGINSKAYA|10|Eric JOHNSON|Celine Aurelie VINOT|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
20180620|0:15|21|Pavel KULIKOV|Ekaterina OGINSKAYA|8|Eric JOHNSON|Celine Aurelie VINOT|9163029C-E28E-4F54-ABF5-32C62028E700|doubles
