date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180508|0:28|21|Yehezkiel Fritz Mainaky|none|14|Cham Chen|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:28|21|Yehezkiel Fritz Mainaky|none|14|Cham Chen|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508||Walkover Win|Peter Yan|none|Walkover Loss|K. Ajay Kumar|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:24|21|Pit Seng Low|none|10|De Jun Jackie Tan|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:24|21|Pit Seng Low|none|3|De Jun Jackie Tan|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:25|21|Robert Mann|none|12|Dylan Soedjasa|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:25|21|Robert Mann|none|17|Dylan Soedjasa|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:57|16|Yang Shen|none|21|Dimitri Han|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:57|21|Yang Shen|none|18|Dimitri Han|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:57|21|Yang Shen|none|14|Dimitri Han|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:47|21|Sun Feixiang|none|17|Kan Chao Yu|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:47|21|Sun Feixiang|none|19|Kan Chao Yu|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|1:01|16|Riichi Takeshita|none|21|Kunlavut Vitidsarn|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|1:01|21|Riichi Takeshita|none|17|Kunlavut Vitidsarn|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|1:01|21|Riichi Takeshita|none|14|Kunlavut Vitidsarn|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:35|21|Lu Guangzu|none|17|Henrikho Kho Wibowo|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:35|21|Lu Guangzu|none|12|Henrikho Kho Wibowo|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:18|21|Ga Eun Kim|none|12|Zecily Fung|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:18|21|Ga Eun Kim|none|6|Zecily Fung|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:52|22|Ayumi Mine|none|20|Deng Joy Xuan|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:52|21|Ayumi Mine|none|19|Deng Joy Xuan|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:19|21|Yukino Nakai|none|6|Kelly Xu|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:19|21|Yukino Nakai|none|9|Kelly Xu|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:25|21|Yingzi Jiang|none|17|Sally Fu|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:25|21|Yingzi Jiang|none|13|Sally Fu|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:31|21|Yehezkiel Fritz Mainaky|none|15|Robert Mann|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:31|21|Yehezkiel Fritz Mainaky|none|17|Robert Mann|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:24|21|Min Hyuk Kang|Ha Na Baek|8|Eric Vuong|Lee Yen Khoo|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:24|21|Min Hyuk Kang|Ha Na Baek|18|Eric Vuong|Lee Yen Khoo|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:36|21|Sun Feixiang|none|14|Peter Yan|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:36|22|Sun Feixiang|none|20|Peter Yan|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:20|21|Lu Guangzu|none|3|Pit Seng Low|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:20|21|Lu Guangzu|none|6|Pit Seng Low|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:23|21|Riichi Takeshita|none|2|Yang Shen|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:23|21|Riichi Takeshita|none|11|Yang Shen|none|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|singles
20180508|0:24|21|Lukas Defolky|Sylvina Kurniawan|14|Eddie Hung|Kelly Xu|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:24|21|Lukas Defolky|Sylvina Kurniawan|15|Eddie Hung|Kelly Xu|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:18|21|Park Kyung Hoon |Hee Yong Kong|11|Cham Chen|Jodee Vega|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:18|21|Park Kyung Hoon |Hee Yong Kong|6|Cham Chen|Jodee Vega|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:22|21|Choi Solgyu|Seung Jae Seo|11|Maika Phillips|Dylan Soedjasa|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:22|21|Choi Solgyu|Seung Jae Seo|7|Maika Phillips|Dylan Soedjasa|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508||Walkover Win|Subhash Aroliveettil|Phuc Nguyen (Lucas) Tran|Walkover Loss|Hari Kiran Chereddi|K. Ajay Kumar|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:23|21|Kan Chao Yu|Chi-Hung Liao|15|Bosco Lap-Chi Kwok|Kok Leong (Jayden) Woon|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:23|21|Kan Chao Yu|Chi-Hung Liao|17|Bosco Lap-Chi Kwok|Kok Leong (Jayden) Woon|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:24|21|Anthony Joe|Pit Seng Low|11|Tai-Liang Ko|Mercedes Tin|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
20180508|0:24|21|Anthony Joe|Pit Seng Low|11|Tai-Liang Ko|Mercedes Tin|0B2351D8-4D29-4E7A-B3DB-8CBF2E65CF32|doubles
