date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190419|0:41|21|Victor Ørding Kauffmann|none|12|Mikhail Shepyrev|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:41|21|Victor Ørding Kauffmann|none|14|Mikhail Shepyrev|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:42|21|Paul Harangus|none|12|Ori Shapira|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:42|21|Paul Harangus|none|19|Ori Shapira|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:37|21|Amir Shapira|none|9|Antreas Mestanas|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:37|21|Amir Shapira|none|11|Antreas Mestanas|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:41|21|Mikolaj Wrzalik|Dominika Chojnacka|15|Franklin Yiu|Yuyang Xiao|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:41|21|Mikolaj Wrzalik|Dominika Chojnacka|12|Franklin Yiu|Yuyang Xiao|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:45|21|Charlie Castle|Sarah Molodet|23|Aris Kattirtzi|Chara Michael|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:45|21|Charlie Castle|Sarah Molodet|14|Aris Kattirtzi|Chara Michael|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:45|21|Charlie Castle|Sarah Molodet|18|Aris Kattirtzi|Chara Michael|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:20|21|Borna Car|Ira Martinuš|7|Samuel Jones|Marisa Fyrilla|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:20|21|Borna Car|Ira Martinuš|16|Samuel Jones|Marisa Fyrilla|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:23|22|Idan Schneidman|Anastasia Bantish|20|Iakovos Acheriotis|Ioanna Antoniou|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:23|21|Idan Schneidman|Anastasia Bantish|11|Iakovos Acheriotis|Ioanna Antoniou|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:26|21|Varun Kapur |none|11|Blake Hoang|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:26|21|Varun Kapur |none|14|Blake Hoang|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:17|21|Maxim Grinblat |none|7|Antonis Charalambous|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:17|21|Maxim Grinblat |none|5|Antonis Charalambous|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|21|Constantinos Symeonides|none|19|Antonis Adamou|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|23|Constantinos Symeonides|none|21|Antonis Adamou|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:19|21|Hans-Kristjan Pilve |none|10|Teodor Ioan Cioroboiu|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:19|21|Hans-Kristjan Pilve |none|10|Teodor Ioan Cioroboiu|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:37|24|Christos Hailis|none|22|Petre Comaneanu|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:37|23|Christos Hailis|none|21|Petre Comaneanu|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|21|Mads Juel Møller |none|8|Mihnea Craciun|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|21|Mads Juel Møller |none|15|Mihnea Craciun|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|21|Stanislav Proskura |none|19|Mikolaj Piorkowski|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|21|Stanislav Proskura |none|13|Mikolaj Piorkowski|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419||Walkover Win|Andreas Theodotou|none|Walkover Loss|Savvas Hadjipantelis|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:25|21|Vasileios Rafail Kiosses|Grammatoula Sotiriou|14|Amir Shapira|Heli Neiman|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:25|21|Vasileios Rafail Kiosses|Grammatoula Sotiriou|17|Amir Shapira|Heli Neiman|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|doubles
20190419|0:26|21|Adam Twardzik |none|14|Franklin Yiu|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:26|21|Adam Twardzik |none|15|Franklin Yiu|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:25|21|Paul Harangus|none|15|Charlie Castle|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:25|22|Paul Harangus|none|20|Charlie Castle|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:20|21|Ira Misir|none|13|Eleni Petrou|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:20|21|Ira Misir|none|11|Eleni Petrou|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:19|21|Yuyang Xiao|none|10|Chara Michael|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:19|21|Yuyang Xiao|none|8|Chara Michael|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:29|21|Victor Ørding Kauffmann|none|13|Borna Car|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:29|21|Victor Ørding Kauffmann|none|18|Borna Car|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|23|Orestis Pissis|none|21|Samuel Jones|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:28|21|Orestis Pissis|none|16|Samuel Jones|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:25|21|Matthias Kicklitz |none|10|Iakovos Acheriotis|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:25|21|Matthias Kicklitz |none|14|Iakovos Acheriotis|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:27|21|Luka Ban |none|16|Idan Schneidman|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:27|21|Luka Ban |none|10|Idan Schneidman|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:24|23|Yuval Pugach|none|21|Dominika Chojnacka|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:24|21|Yuval Pugach|none|11|Dominika Chojnacka|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:30|21|Barbara Janičić|none|16|Anastasia Bantish|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:30|21|Barbara Janičić|none|14|Anastasia Bantish|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
20190419|0:26|21|Tanya Hemanth|none|16|Sarah Molodet|none|E7FBFFF1-076F-4EED-B2D8-336D1BE28638|singles
