date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180723|0:27|22|Jakim Renaud|none|20|Kethabanetswe Godknows|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:27|21|Jakim Renaud|none|18|Kethabanetswe Godknows|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:21|21|Mohamed Mostafa Kamel |none|10|Adam El Mernissi|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:21|21|Mohamed Mostafa Kamel |none|11|Adam El Mernissi|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:15|22|Bouksani Abderrahim|none|20|Oswald Ash Fano-Dosh|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:15|21|Bouksani Abderrahim|none|17|Oswald Ash Fano-Dosh|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:18|21|Khabir Teeluck |none|8|Eddinoh Ratovoarimanga|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:18|21|Khabir Teeluck |none|9|Eddinoh Ratovoarimanga|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:23|21|Daniel Christopher Egbonyi|none|15|Jie Luo|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:23|21|Daniel Christopher Egbonyi|none|13|Jie Luo|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:22|21|Brian Kasirye |none|4|Nassirou Sokoto|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:22|21|Brian Kasirye |none|6|Nassirou Sokoto|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:16|21|Khalil Safana Shamsuddeen|none|2|Amadou Bah|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:16|21|Khalil Safana Shamsuddeen|none|2|Amadou Bah|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:15|21|Mahmoud Montaser Mahmoud |none|6|Oussama Mahmoudi|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:15|21|Mahmoud Montaser Mahmoud |none|14|Oussama Mahmoudi|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:18|21|Mevan Dewoo|none|11|Moyanse Arodi Kimbulu|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:18|21|Mevan Dewoo|none|11|Moyanse Arodi Kimbulu|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:40|21|Raouf Lamrani|none|15|Akpa Jerome Ibrahim Agnimel [8]|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:40|19|Raouf Lamrani|none|21|Akpa Jerome Ibrahim Agnimel [8]|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:40|21|Raouf Lamrani|none|15|Akpa Jerome Ibrahim Agnimel [8]|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:19|21|Mohammed Ahdidou|none|12|Bajika Eloym Kande|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:19|21|Mohammed Ahdidou|none|12|Bajika Eloym Kande|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:18|21|Jean Bernard Bongout |none|6|Carlos Charles Ahouangassi|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:18|21|Jean Bernard Bongout |none|12|Carlos Charles Ahouangassi|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:30|18|Tahar Skander Medel|none|21|Salim Rejem|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:30|21|Tahar Skander Medel|none|16|Salim Rejem|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:30|21|Tahar Skander Medel|none|13|Salim Rejem|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:25|21|Mohamed Abdelaziz Ouchefoun |none|12|Omar Yasser Hafez Kamel|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:25|21|Mohamed Abdelaziz Ouchefoun |none|17|Omar Yasser Hafez Kamel|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
20180723|0:15|21|Mohamed Toson|none|6|Franck Emmanuel Zolobe|none|CF6612E3-0821-4DFC-9583-19FAA9BDA313|singles
