date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150602|0:30|19|Nimmika Thisara|none|21|Oshada De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:30|21|Nimmika Thisara|none|5|Oshada De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:30|21|Nimmika Thisara|none|14|Oshada De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602||Walkover Win|Supakit Jandara|none|Walkover Loss|Rajat Rathore|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:22|21|Pratul Joshi |none|10|Roshan Padma Kumara Thommaya Hakuru|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:22|21|Pratul Joshi |none|10|Roshan Padma Kumara Thommaya Hakuru|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Chaloempon Charoenkitamorn|none|13|Madusha De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Chaloempon Charoenkitamorn|none|17|Madusha De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:21|21|Abhimanyu Singh |none|16|Mahen Anjana Samaranayake|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:21|21|Abhimanyu Singh |none|10|Mahen Anjana Samaranayake|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Enzi Shafira|none|12|Lahiru Weerasinghe|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Enzi Shafira|none|12|Lahiru Weerasinghe|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602||Walkover Win|Sachin Premashan Dias Angodavidanalage|none|Walkover Loss|Yogendran Khrishnan [8]|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Siril Verma|none|9|Chaiyasit Sukasem|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Siril Verma|none|14|Chaiyasit Sukasem|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Tanapat Kittinaowarat|none|10|P. Vikas Harsha|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Tanapat Kittinaowarat|none|11|P. Vikas Harsha|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:20|21|Shahzan Shah Misfahul |none|7|Resintha Ridam De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:20|21|Shahzan Shah Misfahul |none|9|Resintha Ridam De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:21|21|Saihul Islam|none|10|Nadith De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:21|21|Saihul Islam|none|11|Nadith De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:24|21|Aditya Joshi |none|15|Ranthushka Sasindu|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:24|21|Aditya Joshi |none|13|Ranthushka Sasindu|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:35|21|Diluka Karunaratne|none|17|Kahingalage Imesh Hasaranga De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:35|18|Diluka Karunaratne|none|21|Kahingalage Imesh Hasaranga De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:35|21|Diluka Karunaratne|none|15|Kahingalage Imesh Hasaranga De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:20|21|Kaushal Dharmamer |none|9|Mestiyage Don Dilina Gunatilleke|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:20|21|Kaushal Dharmamer |none|15|Mestiyage Don Dilina Gunatilleke|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:18|21|Kittipong Imnark|none|9|Shamika Hasaranga De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:18|21|Kittipong Imnark|none|15|Shamika Hasaranga De Silva|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:15|21|Satheishtharan R.|none|9|Rajitha Manimelwadu|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:15|21|Satheishtharan R.|none|8|Rajitha Manimelwadu|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Pakin Kuna-Anuvit|Natthapat Trinkajee|11|Oshada De Silva|Rajitha Manimelwadu|027031C4-3413-4B37-BF88-9AAD518057EF|doubles
20150602|0:25|21|Pakin Kuna-Anuvit|Natthapat Trinkajee|9|Oshada De Silva|Rajitha Manimelwadu|027031C4-3413-4B37-BF88-9AAD518057EF|doubles
20150602|0:16|21|Christian Bernardo|Alvin Morada|13|Hasitha Chanaka Manani Hewa|Kasun Madusanka Rathnayakesenaratge|027031C4-3413-4B37-BF88-9AAD518057EF|doubles
20150602|0:16|21|Christian Bernardo|Alvin Morada|15|Hasitha Chanaka Manani Hewa|Kasun Madusanka Rathnayakesenaratge|027031C4-3413-4B37-BF88-9AAD518057EF|doubles
20150602|0:20|21|Krishna Prasad Garaga|Satwiksairaj Rankireddy|12|Madusha De Silva|Nimmika Thisara|027031C4-3413-4B37-BF88-9AAD518057EF|doubles
20150602|0:20|21|Krishna Prasad Garaga|Satwiksairaj Rankireddy|12|Madusha De Silva|Nimmika Thisara|027031C4-3413-4B37-BF88-9AAD518057EF|doubles
20150602|0:15|21|Waduthantri Kavindika Binari De Silva|none|10|Buthmi Asini Galagamage|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:15|21|Waduthantri Kavindika Binari De Silva|none|16|Buthmi Asini Galagamage|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:30|21|Alisa Sapniti|none|15|Ying Ying Lee|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:30|21|Alisa Sapniti|none|15|Ying Ying Lee|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:10|Walkover Win|Oshadie Kuruppu|none|Walkover Loss|Sayali Gokhale [4]|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:47|21|Achininimeshika Rathnasir Kapuru Mudiyanselage|none|18|Tassamon Sangkawatana|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:47|17|Achininimeshika Rathnasir Kapuru Mudiyanselage|none|21|Tassamon Sangkawatana|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:47|21|Achininimeshika Rathnasir Kapuru Mudiyanselage|none|17|Tassamon Sangkawatana|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Thamolwan Poopradubsil|none|13|Renu Chandrika Hettiarachchige|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:25|21|Thamolwan Poopradubsil|none|10|Renu Chandrika Hettiarachchige|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:50|21|Neha Pandit |none|23|Thilini Pramodika Hendahewa|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:50|21|Neha Pandit |none|18|Thilini Pramodika Hendahewa|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:50|21|Neha Pandit |none|7|Thilini Pramodika Hendahewa|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:50|11|Lekha Handunkuttihettige|none|21|Kunjira Khongdee|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
20150602|0:50|21|Lekha Handunkuttihettige|none|17|Kunjira Khongdee|none|027031C4-3413-4B37-BF88-9AAD518057EF|singles
