date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150414|0:27|21|Huang Yuxiang|none|10|Chan Yan Kit|none|F954AC16-AB8D-41B7-B81E-E7A472832004|singles
20150414|0:27|21|Huang Yuxiang|none|10|Chan Yan Kit|none|F954AC16-AB8D-41B7-B81E-E7A472832004|singles
20150414|0:31|21|Aik Quan Tan|Pei Jing Lai|15|Tseng Min Hao|Lai Chia Wen|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:31|21|Aik Quan Tan|Pei Jing Lai|10|Tseng Min Hao|Lai Chia Wen|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:30|21|Yong Kai Terry Hee|Wei Han Tan|16|Lu Chia Pin|Chien Hui Yu|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:30|21|Yong Kai Terry Hee|Wei Han Tan|19|Lu Chia Pin|Chien Hui Yu|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:24|21|Wang Yilv|Tang Yuanting|8|Liang Jui Wei|Chia Hsin Lee|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:24|21|Wang Yilv|Tang Yuanting|15|Liang Jui Wei|Chia Hsin Lee|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:26|21|Ko-Chi Chang|Hsin Tien Chang|18|Yu Xiaoyu|Zhu Mai Ci|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:26|21|Ko-Chi Chang|Hsin Tien Chang|11|Yu Xiaoyu|Zhu Mai Ci|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:32|21|Fan Mengyan|none|12|Zuzana Pavelkova|none|F954AC16-AB8D-41B7-B81E-E7A472832004|singles
20150414|0:32|21|Fan Mengyan|none|11|Zuzana Pavelkova|none|F954AC16-AB8D-41B7-B81E-E7A472832004|singles
20150414|0:23|21|Liao Min Chun|Chen Hsiao Huan|16|Kantawat Leelavechabutr|Panjarat Pransopon|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:23|21|Liao Min Chun|Chen Hsiao Huan|10|Kantawat Leelavechabutr|Panjarat Pransopon|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:28|21|Huang Kaixiang|Huang Dongping|14|Chi-Lin Wang|Cheng Chi Ya|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:28|21|Huang Kaixiang|Huang Dongping|9|Chi-Lin Wang|Cheng Chi Ya|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
20150414|0:35|22|Chee Tean Tan|Shevon Jemie Lai|20|Lu Ching Yao|Cheng Wen Hsing|F954AC16-AB8D-41B7-B81E-E7A472832004|doubles
