date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171017|0:43|21|Scott Evans|Amanda Hogstrom|17|Lasse Mølhede|Line Nørgaard|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:43|17|Scott Evans|Amanda Hogstrom|21|Lasse Mølhede|Line Nørgaard|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:43|21|Scott Evans|Amanda Hogstrom|12|Lasse Mølhede|Line Nørgaard|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:23|21|Ivan Sozonov|Evgeniya Kosetskaya|17|Johannes Pistorius|Lara Kaepplein|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:23|21|Ivan Sozonov|Evgeniya Kosetskaya|10|Johannes Pistorius|Lara Kaepplein|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:46|21|Mathias Thyrri|Emilie Aalestrup|17|Raphael Beck [1]|Carla Nelte|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:46|17|Mathias Thyrri|Emilie Aalestrup|21|Raphael Beck [1]|Carla Nelte|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:46|22|Mathias Thyrri|Emilie Aalestrup|20|Raphael Beck [1]|Carla Nelte|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:27|21|Jones Ralfy Jansen|Eva Janssens|15|Mikkel Stoffersen [4]|Susan Ekelund|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:27|22|Jones Ralfy Jansen|Eva Janssens|20|Mikkel Stoffersen [4]|Susan Ekelund|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:44|16|Takuro Hoki|Sayaka Hirota|21|Vladimir Ivanov|Ekaterina Bolotova|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:44|22|Takuro Hoki|Sayaka Hirota|20|Vladimir Ivanov|Ekaterina Bolotova|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:44|21|Takuro Hoki|Sayaka Hirota|6|Vladimir Ivanov|Ekaterina Bolotova|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:28|21|Niclas Nohr |Sara Thygesen|5|Peter Kaesbauer|Olga Konon|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
20171017|0:28|21|Niclas Nohr |Sara Thygesen|17|Peter Kaesbauer|Olga Konon|F8280BD3-001D-467E-A3F7-40DF248A495C|doubles
