date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160128|0:26|21|Atli Johannesson|none|16|Zach Russ|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:26|21|Atli Johannesson|none|17|Zach Russ|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:18|21|Emil Langemark|none|5|Elvar Mar Sturlaugsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:18|21|Emil Langemark|none|9|Elvar Mar Sturlaugsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:20|21|David Kim Kristensen|none|5|Andri Arnason|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:20|21|David Kim Kristensen|none|9|Andri Arnason|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:30|21|Kian Andersen|none|8|Atli Tomasson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:30|21|Kian Andersen|none|10|Atli Tomasson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:19|21|Marcus Jansson|none|7|Palmi Gudfinnsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:19|21|Marcus Jansson|none|11|Palmi Gudfinnsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128||Walkover Win|Peter Roenn Stensaeth|none|Walkover Loss|Jonathan Persson [1]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:24|21|Rasmus Middelbo Eigtved|none|15|Philip Brandt|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:24|21|Rasmus Middelbo Eigtved|none|12|Philip Brandt|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:27|21|Alexander Dunn |none|11|Tomas Bjorn Gudmundsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:27|21|Alexander Dunn |none|9|Tomas Bjorn Gudmundsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:35|21|Patrick Bjerregaard |none|11|Jeppe Bruun Christensen|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:35|21|Patrick Bjerregaard |none|18|Jeppe Bruun Christensen|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:27|21|Boxiao Pan|none|6|Sigurdur Edvard Olafsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:27|19|Boxiao Pan|none|21|Sigurdur Edvard Olafsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:27|21|Boxiao Pan|none|7|Sigurdur Edvard Olafsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:23|21|Torjus Flaatten|none|12|Orkhan Qalandarov [7]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:23|21|Torjus Flaatten|none|12|Orkhan Qalandarov [7]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:25|21|Ditlev Jaeger Holm |none|7|Sigurdur Sverrir Gunnarsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:25|21|Ditlev Jaeger Holm |none|11|Sigurdur Sverrir Gunnarsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:29|21|Peter Correl|none|18|Atli Johannesson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:29|21|Peter Correl|none|16|Atli Johannesson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:26|21|Emil Langemark|none|18|Eidur Isak Broddason|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:26|21|Emil Langemark|none|17|Eidur Isak Broddason|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:24|21|David Kim Kristensen|none|6|Daniel Johannesson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:24|21|David Kim Kristensen|none|10|Daniel Johannesson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:25|21|Kian Andersen|none|5|Robert Ingi Huldarsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:25|21|Kian Andersen|none|15|Robert Ingi Huldarsson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128||Walkover Win|Robert Thor Henn|none|Walkover Loss|Robert Mann [3]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128||Walkover Win|Marcus Jansson|none|Walkover Loss|Jonas Baldursson|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:19|21|Callum Hemming|none|13|Kanan Rzayev [8]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:19|21|Callum Hemming|none|11|Kanan Rzayev [8]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:25|21|Tomas Dovydaitis|none|14|Haukur Gylfi Gislason|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:25|21|Tomas Dovydaitis|none|7|Haukur Gylfi Gislason|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128||Walkover Win|David Bjarni Bjornsson|none|Walkover Loss|Ben Torrance [2]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128||Walkover Win|Ulfheidur Embla Asgeirsdottir|none|Walkover Loss|Arna Karen Johannsdottir [1]|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:37|21|Sofie Kierkegaard|none|9|Andrea Nilsdottir|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
20160128|0:37|21|Sofie Kierkegaard|none|14|Andrea Nilsdottir|none|185A87E8-457F-4111-A262-FE510F677AFF|singles
