date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160607|0:19|21|Tiffany Ho|none|6|Sara Mohmand|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:19|21|Tiffany Ho|none|7|Sara Mohmand|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607||Walkover Win|Huaidong Tang|none|Walkover Loss|Simon Santoso|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:19|21|Simon Wing Hang Leung|none|6|Ronan Ho-Yagues|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:19|21|Simon Wing Hang Leung|none|7|Ronan Ho-Yagues|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:23|21|Anthony Joe|none|10|Cham Chen|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:23|21|Anthony Joe|none|13|Cham Chen|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:27|21|Lukas Defolky|none|11|Pit Seng Low|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:27|21|Lukas Defolky|none|10|Pit Seng Low|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:33|21|R. M. V. Gurusaidutt|none|7|Michael Fariman|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:33|21|R. M. V. Gurusaidutt|none|14|Michael Fariman|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:41|21|Jiann Shiarng Chiang|none|13|Jonathan Sun|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:41|17|Jiann Shiarng Chiang|none|21|Jonathan Sun|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:41|21|Jiann Shiarng Chiang|none|8|Jonathan Sun|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:22|21|Nathan Tang|none|14|Sagar Kumar|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:22|21|Nathan Tang|none|7|Sagar Kumar|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:30|21|Yehezkiel Fritz Mainaky|none|16|Morgan Paitio|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:30|21|Yehezkiel Fritz Mainaky|none|19|Morgan Paitio|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:14|21|Kim Astrup|Line Kjaersfeldt|4|Bernhard Halim|Elena Yee-Man Kwok|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|doubles
20160607|0:14|21|Kim Astrup|Line Kjaersfeldt|5|Bernhard Halim|Elena Yee-Man Kwok|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|doubles
20160607|0:30|Walkover Win|Ahmad Maziri Mazlan|Amir Syazwan Al Razi Mohd Shahriman Bakhtir|Walkover Loss|Simon Wing Hang Leung|Mitchell Wheller|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|doubles
20160607|0:58|21|Anthony Joe|none|11|Lukas Defolky|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:58|20|Anthony Joe|none|22|Lukas Defolky|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:58|21|Anthony Joe|none|19|Lukas Defolky|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:32|24|Huaidong Tang|none|22|Nathan Tang|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
20160607|0:32|21|Huaidong Tang|none|19|Nathan Tang|none|0F2C2C7A-497D-4F59-A5A6-5EA0546C3DE4|singles
