date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150909|0:23|21|Andres Ramirez|none|7|Pedro Arturo Garcia-Flores|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:23|21|Andres Ramirez|none|13|Pedro Arturo Garcia-Flores|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:35|21|Luka Wraber |none|14|Alex Yuwan Tjong|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:35|21|Luka Wraber |none|13|Alex Yuwan Tjong|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:50|21|Niks Podosinoviks|none|15|Bastian Andree Lizama|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:50|20|Niks Podosinoviks|none|22|Bastian Andree Lizama|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:50|21|Niks Podosinoviks|none|6|Bastian Andree Lizama|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:35|21|Osleni Guerrero |none|4|Giovanni Greco|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:35|21|Osleni Guerrero |none|16|Giovanni Greco|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:14|21|Luke Couture|none|1|Miguel Imar Jauregui|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:14|21|Luke Couture|none|2|Miguel Imar Jauregui|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909||Walkover Win|Job Castillo|none|Walkover Loss|Howard Shu [3]|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:43|21|Brandon Samayoa|none|18|Mauricio Casillas|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:43|21|Brandon Samayoa|none|14|Mauricio Casillas|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:30|21|Daniel Paiola |none|13|Alexis Gohier-Drolet|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:30|21|Daniel Paiola |none|6|Alexis Gohier-Drolet|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:20|21|Jan Frohlich|none|7|Sebastian De La Torre|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
20150909|0:20|21|Jan Frohlich|none|3|Sebastian De La Torre|none|AF51707F-1CF3-4A3A-8643-C8BF3C349E66|singles
