date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170321|0:18|21|Zhuge Lukai|Pan Beibei|8|Tran Ngoc Tuan Anh|Ho Thi Trang|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:18|21|Zhuge Lukai|Pan Beibei|7|Tran Ngoc Tuan Anh|Ho Thi Trang|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:30|21|Pham Trung Luan|Pham Ngoc Bich|17|Zhao Jian|Jiang Yujing|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:30|22|Pham Trung Luan|Pham Ngoc Bich|20|Zhao Jian|Jiang Yujing|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:30|21|Nguyen Van Viet|Do Thi Hoai|10|Kuo Ching-Hung|Chen Hsiang Ting|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:30|21|Nguyen Van Viet|Do Thi Hoai|17|Kuo Ching-Hung|Chen Hsiang Ting|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:30|18|Nguyen Hoang Anh|Nguyen Thi Be Tram|21|Keerati Likitanurucks|Nipada Punjae|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:30|21|Nguyen Hoang Anh|Nguyen Thi Be Tram|13|Keerati Likitanurucks|Nipada Punjae|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:30|21|Nguyen Hoang Anh|Nguyen Thi Be Tram|11|Keerati Likitanurucks|Nipada Punjae|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:20|21|An Thanh Huy|Tran Thi Yen Chi|7|Nguyen Chi Duc|Nguyen Thi Thu Minh|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|0:20|21|An Thanh Huy|Tran Thi Yen Chi|8|Nguyen Chi Duc|Nguyen Thi Thu Minh|117F3195-B80A-467E-94E4-AB4BF71BFF64|doubles
20170321|1:00|21|Koji Naito|none|23|Saran Jamsri|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|1:00|21|Koji Naito|none|19|Saran Jamsri|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|1:00|21|Koji Naito|none|11|Saran Jamsri|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:26|21|Nguyen Xuan Manh|none|17|Yusriazmi Yusuf|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:26|21|Nguyen Xuan Manh|none|12|Yusriazmi Yusuf|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:20|21|Bodhit Joshi |none|6|Nguyen Van Duc|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:20|21|Bodhit Joshi |none|12|Nguyen Van Duc|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|23|Fahmi Mubarok|none|21|Le Thanh Lam|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|21|Fahmi Mubarok|none|10|Le Thanh Lam|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|21|Lishwan Mudukasan |none|14|Luong Tuan Huy|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|21|Lishwan Mudukasan |none|7|Luong Tuan Huy|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:35|21|Chuang Jin Lei |none|7|Nguyen Minh Hieu|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:35|21|Chuang Jin Lei |none|6|Nguyen Minh Hieu|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:32|21|Tran Quoc Viet|none|17|Tan Li Bin|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:32|21|Tran Quoc Viet|none|17|Tan Li Bin|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:33|21|Teh Jia Heng Jason|none|18|Nguyen Duc Giang [3]|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:33|21|Teh Jia Heng Jason|none|11|Nguyen Duc Giang [3]|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:19|21|An Junchen|none|8|Nguyen Thien Loc|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:19|21|An Junchen|none|12|Nguyen Thien Loc|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:48|21|Setthanan Piyawatcharavijit|none|13|Nguyen Dinh Tuan Kiet|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:48|17|Setthanan Piyawatcharavijit|none|21|Nguyen Dinh Tuan Kiet|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:48|21|Setthanan Piyawatcharavijit|none|17|Nguyen Dinh Tuan Kiet|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:30|21|Koh Jia Wei Joel|none|14|Ros Leonard Pedrosa|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:30|21|Koh Jia Wei Joel|none|12|Ros Leonard Pedrosa|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|21|Liu Haichao|none|7|Truong Thanh Long [5]|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|21|Liu Haichao|none|15|Truong Thanh Long [5]|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|21|Tay Jimmy, Yu Lun|none|15|Le Duy Nam|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:25|21|Tay Jimmy, Yu Lun|none|10|Le Duy Nam|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:33|21|Phanuwat Srimanta |none|12|Nguyen Thanh Son|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:33|26|Phanuwat Srimanta |none|24|Nguyen Thanh Son|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:29|21|Peeranat Boontun|none|10|Nguyen Hoang Nam|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
20170321|0:29|21|Peeranat Boontun|none|14|Nguyen Hoang Nam|none|117F3195-B80A-467E-94E4-AB4BF71BFF64|singles
