date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141104|0:23|21|Ra Min Young|Ko Hye Ryeon|9|Cheng Po Wei|Yu Chien Hui|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:23|21|Ra Min Young|Ko Hye Ryeon|15|Cheng Po Wei|Yu Chien Hui|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:26|21|Chiang Kai Hsin |Hung Shih Han|17|Choi Min Ji|Oh Bo Kyung|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:26|21|Chiang Kai Hsin |Hung Shih Han|17|Choi Min Ji|Oh Bo Kyung|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:29|21|Chang Yu Chen|none|16|Ko Hyun Jung|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:29|21|Chang Yu Chen|none|15|Ko Hyun Jung|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:03|1|Shin Kyung Deok|none|0|Joo Hyun Joon|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:03|Walkover Win|Shin Kyung Deok|none|Walkover Loss|Joo Hyun Joon|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:38|21|Kim Soo Jin |none|13|Thilini Pramodika Hendahewa|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:38|21|Kim Soo Jin |none|15|Thilini Pramodika Hendahewa|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:18|21|Tsang Wing Chiu |none|3|Ieong Pek San|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:18|21|Tsang Wing Chiu |none|5|Ieong Pek San|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|1:00|21|Sarita Suwannakitborihan|none|15|Kim Na Young [4]|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|1:00|18|Sarita Suwannakitborihan|none|21|Kim Na Young [4]|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|1:00|21|Sarita Suwannakitborihan|none|19|Kim Na Young [4]|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:30|21|Lee Haeng Ham|Song Chang Yeop|11|Or Chin Chung|Yeung Shing Choi|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:30|21|Lee Haeng Ham|Song Chang Yeop|14|Or Chin Chung|Yeung Shing Choi|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:30|21|Lee Chak Wai|none|18|Heo In|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:30|21|Lee Chak Wai|none|15|Heo In|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:35|21|Chan Hung Yung|none|16|Yoon Min Ah|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:35|21|Chan Hung Yung|none|9|Yoon Min Ah|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:40|16|Kim Ki Hoon|Eom Ah Young|21|Jung Suk Hoon|Chae Hyun Hee|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:40|21|Kim Ki Hoon|Eom Ah Young|18|Jung Suk Hoon|Chae Hyun Hee|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:40|21|Kim Ki Hoon|Eom Ah Young|16|Jung Suk Hoon|Chae Hyun Hee|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
20141104|0:25|21|Oh Sang Ho|none|14|Shon Sung Min|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:25|21|Oh Sang Ho|none|18|Shon Sung Min|none|872EF138-8B5F-457D-9920-E08D18F152B5|singles
20141104|0:25|21|Ho Wai Lun |Yuen Sin Ying|13|Wang Chih Hao|Wang Yen Yu|872EF138-8B5F-457D-9920-E08D18F152B5|doubles
