date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150920||Walkover Win|Andrey Degtyarev|Nataliia Golovkina|Walkover Loss|Pawel Pasik|Magdalena Kojder|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920||Walkover Win|Oliver Colin|Fraenzi Striebel|Walkover Loss|Alexander Monastyrev|Larisa Marahova|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:18|21|Mohankumar Ponnusamy|Navya Nallam|10|Georg Walter|Georgia Vernardou|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:18|21|Mohankumar Ponnusamy|Navya Nallam|11|Georg Walter|Georgia Vernardou|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:19|21|Cedric Bernier|Julie Puigrenier|11|Krzysztof Grabek|Malgorzata Srednicka|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:19|21|Cedric Bernier|Julie Puigrenier|9|Krzysztof Grabek|Malgorzata Srednicka|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:16|21|Tryggvi Nielsen|Elsa Nielsen|12|Jukka Rantanen|Anne-Mari Kallio|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:16|21|Tryggvi Nielsen|Elsa Nielsen|8|Jukka Rantanen|Anne-Mari Kallio|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:14|21|Henning Zanssen|Tina Kähler|6|Jon Eirik Gulli|Hilde Parnemann|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:14|21|Henning Zanssen|Tina Kähler|8|Jon Eirik Gulli|Hilde Parnemann|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:25|21|Niclas Kaneback|Sara Rehnstrom Fandriks|15|Nozaki Tsutomu|Chika Tanifuji|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:25|21|Niclas Kaneback|Sara Rehnstrom Fandriks|15|Nozaki Tsutomu|Chika Tanifuji|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:22|22|Nicolai Jonas Maltesen|Line Haarkjær|20|Jorgen Olsson|Sunniva Aminoff|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:22|21|Nicolai Jonas Maltesen|Line Haarkjær|18|Jorgen Olsson|Sunniva Aminoff|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:19|21|Erik Nilsson|Anthea Poon|14|Alex Van Gent|Marjaana Sorokin|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:19|21|Erik Nilsson|Anthea Poon|12|Alex Van Gent|Marjaana Sorokin|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:16|21|Per Juul |none|11|Marek Rosa|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:16|21|Per Juul |none|10|Marek Rosa|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:33|21|Trevor Hampson|none|19|Stephen Waddell|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:33|22|Trevor Hampson|none|20|Stephen Waddell|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:15|21|Christer Forsgren |none|8|Peeter Ärmpalu|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:15|21|Christer Forsgren |none|9|Peeter Ärmpalu|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:19|21|Seiji Eto|none|15|Ildar Suleymanov|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:19|21|Seiji Eto|none|11|Ildar Suleymanov|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:19|21|Francisco Javier Ruiz|none|7|Hindrianto Lukas Lioe [9/16]|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:19|21|Francisco Javier Ruiz|none|11|Hindrianto Lukas Lioe [9/16]|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920||Walkover Win|Rick Paap |none|Walkover Loss|Shrestha Puspa|none|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|singles
20150920|0:20|21|Esben B. Kæmpegaard|Helle Kæmpegaard|11|Saevar Strom|Vigdis Asgeirsdottir|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:20|21|Esben B. Kæmpegaard|Helle Kæmpegaard|10|Saevar Strom|Vigdis Asgeirsdottir|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:15|21|Mark Trebble|Rebecca Pantaney|8|Fernando Herrero|Madhu Gyanchandani|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
20150920|0:15|21|Mark Trebble|Rebecca Pantaney|7|Fernando Herrero|Madhu Gyanchandani|41FADC9B-841B-4AF6-B5FC-FCEB647F9DA5|doubles
