date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161123|0:21|21|Mathias Christiansen |Sara Thygesen|4|Matthew Clare|Jessica Hopton|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:21|21|Mathias Christiansen |Sara Thygesen|6|Matthew Clare|Jessica Hopton|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:22|21|Dominik Stipsits |Elisabeth Baldauf|13|Martin Drabble|Til'Shiloh Shaw|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:22|23|Dominik Stipsits |Elisabeth Baldauf|21|Martin Drabble|Til'Shiloh Shaw|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:19|21|Raphael Beck|Carla Nelte|10|David King|Nicola Gresty|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:19|21|Raphael Beck|Carla Nelte|4|David King|Nicola Gresty|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:20|21|Goh Soon Huat|Shevon Jemie Lai|10|Bjarne Geiss|Eva Janssens|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:20|21|Goh Soon Huat|Shevon Jemie Lai|10|Bjarne Geiss|Eva Janssens|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:19|21|Lu Chia Pin|Shuo Yun Sung|9|Ryan Jing Quek|Meera Sivakumaran|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:19|21|Lu Chia Pin|Shuo Yun Sung|14|Ryan Jing Quek|Meera Sivakumaran|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:40|15|Matthew Grimley|none|21|Joshua Young|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:40|21|Matthew Grimley|none|14|Joshua Young|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:40|21|Matthew Grimley|none|15|Joshua Young|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:26|21|Akshay Dewalkar|Jennifer Karnott|17|Max Flynn|Huang Wun Yan|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:26|21|Akshay Dewalkar|Jennifer Karnott|15|Max Flynn|Huang Wun Yan|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:25|21|Ou Xuanyi|Lin Liu|19|Callum Hemming|Fee Teng Liew|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:25|21|Ou Xuanyi|Lin Liu|14|Callum Hemming|Fee Teng Liew|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:22|19|Robin Tabeling|Cheryl Seinen|21|Gaetan Mittelheisser [2]|Emilie Lefel|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:28|21|Yuehang Wang|none|9|Kyle Longmuir|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:28|21|Yuehang Wang|none|13|Kyle Longmuir|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:47|22|Zach Russ|none|20|Ciar Pringle|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:47|18|Zach Russ|none|21|Ciar Pringle|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:47|21|Zach Russ|none|19|Ciar Pringle|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:24|21|Raphael Beck|Carla Nelte|18|Dominik Stipsits [4]|Elisabeth Baldauf|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:24|21|Raphael Beck|Carla Nelte|10|Dominik Stipsits [4]|Elisabeth Baldauf|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:24|21|Goh Soon Huat|Shevon Jemie Lai|9|Lu Chia Pin|Shuo Yun Sung|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:24|21|Goh Soon Huat|Shevon Jemie Lai|14|Lu Chia Pin|Shuo Yun Sung|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:28|21|Andrew Wainwright|none|10|Henry Prothero|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:28|21|Andrew Wainwright|none|15|Henry Prothero|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:22|21|Heng Lin Ngan|none|13|Salim Ben Boudinar|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:22|21|Heng Lin Ngan|none|3|Salim Ben Boudinar|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:47|8|Mathias Christiansen |Sara Thygesen|21|Ou Xuanyi|Lin Liu|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:47|21|Mathias Christiansen |Sara Thygesen|13|Ou Xuanyi|Lin Liu|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:47|21|Mathias Christiansen |Sara Thygesen|11|Ou Xuanyi|Lin Liu|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123||Walkover Win|Ben Hunt|none|Walkover Loss|Daniel Font [5]|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:42|21|Daniel Leers|none|18|Steven Stallwood|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:42|22|Daniel Leers|none|24|Steven Stallwood|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:42|21|Daniel Leers|none|18|Steven Stallwood|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:26|21|Robin Tabeling|Cheryl Seinen|15|Akshay Dewalkar|Jennifer Karnott|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:26|21|Robin Tabeling|Cheryl Seinen|18|Akshay Dewalkar|Jennifer Karnott|8C2257E4-4267-4541-9E13-91134FA495FF|doubles
20161123|0:20|21|Songjian Wu|none|5|Viknesh Rajendran|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:20|21|Songjian Wu|none|9|Viknesh Rajendran|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:42|20|David King|none|22|Jack Macgregor|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:42|21|David King|none|11|Jack Macgregor|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:42|21|David King|none|5|Jack Macgregor|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123||Walkover Win|Martin Drabble|none|Walkover Loss|Stijn De Langhe [6]|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:22|21|Jonathan Mcdonald|none|8|Matthew Duguid|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:22|21|Jonathan Mcdonald|none|12|Matthew Duguid|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:39|16|Felix Deblois-Beaucage|none|21|Chris Williams|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:39|21|Felix Deblois-Beaucage|none|11|Chris Williams|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:39|21|Felix Deblois-Beaucage|none|11|Chris Williams|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:25|21|Christopher Grimley|none|9|Kit Clement-Dawson|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:25|21|Christopher Grimley|none|14|Kit Clement-Dawson|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:28|21|Andrew Wainwright|none|18|Zach Russ|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:28|21|Andrew Wainwright|none|10|Zach Russ|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:28|21|Woon Kok Hong|none|19|Nathan Rossiter|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:28|21|Woon Kok Hong|none|17|Nathan Rossiter|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:23|21|Danny Leinster|none|12|Sam Lyle|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:23|21|Danny Leinster|none|12|Sam Lyle|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:45|21|Yuehang Wang|none|19|Matthew Grimley|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:45|16|Yuehang Wang|none|21|Matthew Grimley|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:45|21|Yuehang Wang|none|13|Matthew Grimley|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:24|21|Ryan Jing Quek |none|14|Sameer Scott Aamir|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:24|21|Ryan Jing Quek |none|14|Sameer Scott Aamir|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:25|21|Panuga Riou |none|11|Kelly Stern|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:25|21|Panuga Riou |none|11|Kelly Stern|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:23|21|Songjian Wu|none|9|Ben Hunt|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:23|21|Songjian Wu|none|12|Ben Hunt|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:24|21|Heng Lin Ngan|none|12|Daniel Leers|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:24|21|Heng Lin Ngan|none|10|Daniel Leers|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:21|21|Paige Butler |none|17|Freya Patel-Redfearn|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:21|21|Paige Butler |none|10|Freya Patel-Redfearn|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:22|21|Chang Ya Lan|none|16|Emily Beach|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:22|21|Chang Ya Lan|none|9|Emily Beach|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:27|21|Christopher Grimley|none|16|David King|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:27|21|Christopher Grimley|none|13|David King|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:23|21|Holly Newall|none|14|Toni Woods|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:23|21|Holly Newall|none|15|Toni Woods|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:44|21|Jonathan Mcdonald|none|14|Martin Drabble|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:44|11|Jonathan Mcdonald|none|21|Martin Drabble|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:44|21|Jonathan Mcdonald|none|19|Martin Drabble|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:16|21|Cristen Elizabeth Marritt|none|5|Rosemary Allen|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:16|21|Cristen Elizabeth Marritt|none|12|Rosemary Allen|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
20161123|0:33|21|Nadianie Ouaqouaq-Bergeron|none|15|Sophie Males|none|8C2257E4-4267-4541-9E13-91134FA495FF|singles
