date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180614|0:33|21|Christo Popov|none|16|Ernesto Baschwitz|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:33|21|Christo Popov|none|17|Ernesto Baschwitz|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:16|21|Tomas Toledano|none|4|Kar Lung Chun|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:16|21|Tomas Toledano|none|4|Kar Lung Chun|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:24|21|Seng Zoe Yeoh|none|13|Miguel San Luis|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:24|21|Seng Zoe Yeoh|none|16|Miguel San Luis|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:23|21|Alvaro Leal|none|6|Raymond Webster|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:23|21|Alvaro Leal|none|10|Raymond Webster|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614||Walkover Win|Raphaël Peter|none|Walkover Loss|Kevin Arokia Walter|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614||Walkover Win|Alberto Perals|none|Walkover Loss|Kaushal Dharmamer|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:21|21|Joran Kweekel|none|17|Pavel Kotsarenko|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:21|21|Joran Kweekel|none|10|Pavel Kotsarenko|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:49|17|Carlos Sanchez-Alarcos|none|21|Jose Miguel Rodriguez|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:49|21|Carlos Sanchez-Alarcos|none|17|Jose Miguel Rodriguez|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:49|21|Carlos Sanchez-Alarcos|none|16|Jose Miguel Rodriguez|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614||Walkover Win|Dimitar Yanakiev|none|Walkover Loss|Alex Alcala Dominguez|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:27|21|Adriana F. Goncalves|none|18|Laura Solis|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:27|21|Adriana F. Goncalves|none|18|Laura Solis|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:22|21|Wolfgang Gnedt |none|9|Andoni Azurmendi Moreno|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:22|21|Wolfgang Gnedt |none|12|Andoni Azurmendi Moreno|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614||Walkover Win|Rory Easton|none|Walkover Loss|Miguel Barbado|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614||Walkover Win|Manuela Diaz|none|Walkover Loss|Monika Szoke [3]|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:21|21|Rosemary Allen|none|11|Laura Muir|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:21|21|Rosemary Allen|none|15|Laura Muir|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:17|21|Carlos Piris|none|5|Thiyagarajan Purusothaman|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:17|21|Carlos Piris|none|10|Thiyagarajan Purusothaman|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:21|21|Jenjira Stadelmann|none|10|Helis Pajuste|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:21|21|Jenjira Stadelmann|none|9|Helis Pajuste|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:18|21|Tomas Toledano|none|13|Joseph Hulbert|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:18|21|Tomas Toledano|none|7|Joseph Hulbert|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:56|19|Kari Gunnarsson|none|21|Seng Zoe Yeoh|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:56|21|Kari Gunnarsson|none|17|Seng Zoe Yeoh|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:56|21|Kari Gunnarsson|none|18|Seng Zoe Yeoh|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614||Walkover Win|Marc Cardona|none|Walkover Loss|Daniel Nikolov [2]|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:37|21|Christo Popov|none|17|Lukas Zevl|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:37|25|Christo Popov|none|23|Lukas Zevl|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614||Walkover Win|Chen Zeyu|none|Walkover Loss|Toma Junior Popov [1]|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:18|21|Mads Christophersen |none|7|Jesus Lorenzo|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:18|21|Mads Christophersen |none|9|Jesus Lorenzo|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:25|21|Dimitar Yanakiev|none|11|Francisco Olivares|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:25|21|Dimitar Yanakiev|none|10|Francisco Olivares|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:17|21|Manuel Vazquez |none|4|Raphaël Peter|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:17|21|Manuel Vazquez |none|7|Raphaël Peter|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:38|21|Adriana F. Goncalves|none|23|Catarina M. Martins|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:38|21|Adriana F. Goncalves|none|10|Catarina M. Martins|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:38|21|Adriana F. Goncalves|none|19|Catarina M. Martins|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:24|21|Alvaro Leal|none|9|Luis Miguel Silva|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:24|21|Alvaro Leal|none|18|Luis Miguel Silva|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:49|20|Prashi Joshi |none|22|Claudia Leal|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:49|21|Prashi Joshi |none|13|Claudia Leal|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:49|21|Prashi Joshi |none|12|Claudia Leal|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:23|21|Joran Kweekel|none|10|Valeriy Atrashchenkov [5]|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
20180614|0:23|21|Joran Kweekel|none|11|Valeriy Atrashchenkov [5]|none|EE0DCE8F-8D14-4184-90FE-5D45FF12A4BE|singles
