date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171128|0:27|21|Lee Ji Hye|none|16|Chung Yu Feng|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:27|21|Lee Ji Hye|none|13|Chung Yu Feng|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:24|21|Kim Dong Joo|Choi Hye In|14|Chen Xin-Yuan|Yu Chien Hui|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:24|21|Kim Dong Joo|Choi Hye In|14|Chen Xin-Yuan|Yu Chien Hui|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:43|19|Yang Ming-Tse |Sung Shuo Yun|21|Choi Hyuk Gyun|Lee Yu Rim|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:43|21|Yang Ming-Tse |Sung Shuo Yun|16|Choi Hyuk Gyun|Lee Yu Rim|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:43|21|Yang Ming-Tse |Sung Shuo Yun|18|Choi Hyuk Gyun|Lee Yu Rim|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:28|21|Chen Sihang|Xia Yuting|15|Park Mu Hyun|Yoon Min Ah|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:28|21|Chen Sihang|Xia Yuting|16|Park Mu Hyun|Yoon Min Ah|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:25|21|Kim Hwi Tae|Kim So Yeong|11|Lee Jhe-Huei|Wu Ti Jung|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:25|23|Kim Hwi Tae|Kim So Yeong|21|Lee Jhe-Huei|Wu Ti Jung|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:48|21|Kim Dukyoung |Kim Hye Rin|16|Fan Qiuyue|Liu Xuanxuan|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:48|13|Kim Dukyoung |Kim Hye Rin|21|Fan Qiuyue|Liu Xuanxuan|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:48|21|Kim Dukyoung |Kim Hye Rin|18|Fan Qiuyue|Liu Xuanxuan|60D86131-2252-40D1-8E31-A88F45ED65EC|doubles
20171128|0:35|21|Lee Ju Won|none|18|Heo In|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:35|21|Lee Ju Won|none|18|Heo In|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:36|21|Choi Hyun Beom|none|19|Park Hyun Sik|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:36|21|Choi Hyun Beom|none|18|Park Hyun Sik|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:49|19|Jung Woo Jin|none|21|Lee Sang Hyun|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:49|21|Jung Woo Jin|none|18|Lee Sang Hyun|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
20171128|0:49|21|Jung Woo Jin|none|18|Lee Sang Hyun|none|60D86131-2252-40D1-8E31-A88F45ED65EC|singles
