date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141024|0:21|21|Angus Pedersen|Ekaterina Kut|13|Mario Saunpere|Kati-Kreet Marran|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:21|21|Angus Pedersen|Ekaterina Kut|16|Mario Saunpere|Kati-Kreet Marran|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:20|21|Arttu Mähönen|Annmarie Oksa|18|Ângelo Silva|Daniela Conceição|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:20|21|Arttu Mähönen|Annmarie Oksa|9|Ângelo Silva|Daniela Conceição|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:26|21|Max Flynn|Aleksandra Semenova|14|Paul Reynolds|Rachael Darragh|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:26|21|Max Flynn|Aleksandra Semenova|11|Paul Reynolds|Rachael Darragh|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:23|21|Matthew Widdicombe|Linnea Vainula|14|Artiom Ivanov|Irina Shorokhova|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:23|21|Matthew Widdicombe|Linnea Vainula|15|Artiom Ivanov|Irina Shorokhova|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:30|21|Andy Tsai|Helina Rüütel|9|Iiro Nokkala|Tuuli Härkönen|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:30|19|Andy Tsai|Helina Rüütel|21|Iiro Nokkala|Tuuli Härkönen|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:30|21|Andy Tsai|Helina Rüütel|10|Iiro Nokkala|Tuuli Härkönen|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:29|21|Thai To|Moa Sjöö|14|Nikita Fedotovskikh|Lela Minadze|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:29|21|Thai To|Moa Sjöö|17|Nikita Fedotovskikh|Lela Minadze|273897DB-6477-4D2B-B3CE-C0F69650F386|doubles
20141024|0:30|21|Oliver Hjälm|none|19|Pablo Sanmartin|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:30|22|Oliver Hjälm|none|20|Pablo Sanmartin|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:28|21|Luke Pearce|none|17|Kim Michael Zeber|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:28|21|Luke Pearce|none|13|Kim Michael Zeber|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:46|19|Ross Green|none|21|Duarte Nuno Anjo|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:46|21|Ross Green|none|17|Duarte Nuno Anjo|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:46|21|Ross Green|none|16|Duarte Nuno Anjo|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:31|21|Mario Saunpere|none|17|Satchal Madden|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:31|21|Mario Saunpere|none|15|Satchal Madden|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:17|21|Tanel Namm|none|13|Alarik Jägerhorn|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:17|21|Tanel Namm|none|13|Alarik Jägerhorn|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:27|21|Alexander Loginov|none|12|Oskari Salminen|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:27|21|Alexander Loginov|none|15|Oskari Salminen|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:39|21|Iiro Nokkala|none|18|Victor Alcaide|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
20141024|0:39|16|Iiro Nokkala|none|21|Victor Alcaide|none|273897DB-6477-4D2B-B3CE-C0F69650F386|singles
