date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140702|0:19|21|Aleksandr Vasilkin|Kristina Virvich|12|Maxim Muzhevlev|Natalia Kachevskaya|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:19|21|Aleksandr Vasilkin|Kristina Virvich|8|Maxim Muzhevlev|Natalia Kachevskaya|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:20|21|Mikhail Gorokhov|Yana Ignatyeva|10|Egor Okolov|Sabina Alieva|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:20|21|Mikhail Gorokhov|Yana Ignatyeva|12|Egor Okolov|Sabina Alieva|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:14|21|Elizaveta Tarasova|none|3|Olga Trofimova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:14|21|Elizaveta Tarasova|none|17|Olga Trofimova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:43|18|Ksenia Evgenova|none|21|Anastasia Ronzhina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:43|21|Ksenia Evgenova|none|19|Anastasia Ronzhina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:43|22|Ksenia Evgenova|none|20|Anastasia Ronzhina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Anastasia Nesterova|none|14|Daria Dzhedzhla|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Anastasia Nesterova|none|14|Daria Dzhedzhla|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:28|21|Maria Mitsova|none|15|Anastasia Stogova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:28|25|Maria Mitsova|none|23|Anastasia Stogova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:32|21|Kati Tolmoff|none|10|Anastasiya Batyrova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:32|13|Kati Tolmoff|none|21|Anastasiya Batyrova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:32|21|Kati Tolmoff|none|8|Anastasiya Batyrova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:41|21|Irina Shorokhova|none|14|Alexandra Semenova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:41|19|Irina Shorokhova|none|21|Alexandra Semenova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:41|21|Irina Shorokhova|none|15|Alexandra Semenova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:44|21|Kristina Virvich|none|13|Simona Kononykhina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:44|24|Kristina Virvich|none|26|Simona Kononykhina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:44|21|Kristina Virvich|none|18|Simona Kononykhina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:37|21|Sabina Alieva|none|12|Karina Khabibulina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:37|19|Sabina Alieva|none|21|Karina Khabibulina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:37|21|Sabina Alieva|none|10|Karina Khabibulina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Elizaveta Pyatina|none|19|Alexandra Plis|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Elizaveta Pyatina|none|17|Alexandra Plis|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:35|9|Anastasia Redkina|none|21|Anastasia Dobrinina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:35|21|Anastasia Redkina|none|13|Anastasia Dobrinina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:35|21|Anastasia Redkina|none|13|Anastasia Dobrinina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:24|21|Marie Batomene|none|13|Vera Morozova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:24|21|Marie Batomene|none|17|Vera Morozova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:32|21|Yana Ignatyeva|none|18|Anna Krasnoschekova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:32|21|Yana Ignatyeva|none|15|Anna Krasnoschekova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:20|21|Vladislav Soloviev |Maria Dmitrieva|16|Anatoliy Gladkih|Daria Dzhedzhla|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:20|21|Vladislav Soloviev |Maria Dmitrieva|11|Anatoliy Gladkih|Daria Dzhedzhla|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702||Walkover Win|Gleb Ageenko |Ksenia Evgenova|Walkover Loss|Yan Iloshvay|Irina Shorokhova|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:28|21|Aleksandr Vasilkin|Kristina Virvich|19|Pavel Kotsarenko|Anastasia Ronzhina|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:28|21|Aleksandr Vasilkin|Kristina Virvich|16|Pavel Kotsarenko|Anastasia Ronzhina|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:36|21|Elizaveta Tarasova|none|17|Dana Kugel [1]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:36|16|Elizaveta Tarasova|none|21|Dana Kugel [1]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:36|21|Elizaveta Tarasova|none|7|Dana Kugel [1]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Elizaveta Pyatina|none|16|Jekaterina Romanova [4]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Elizaveta Pyatina|none|13|Jekaterina Romanova [4]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:20|21|Mikhail Gorokhov|Yana Ignatyeva|6|Alexander Loginov|Anastasiya Batyrova|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:20|21|Mikhail Gorokhov|Yana Ignatyeva|19|Alexander Loginov|Anastasiya Batyrova|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140702|0:25|21|Maria Mitsova|none|11|Anastasia Nesterova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Maria Mitsova|none|10|Anastasia Nesterova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Marie Batomene|none|15|Anastasia Redkina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Marie Batomene|none|15|Anastasia Redkina|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:31|21|Ksenia Evgenova|none|13|Kristina Virvich|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:31|24|Ksenia Evgenova|none|22|Kristina Virvich|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Sabina Alieva|none|15|Vitaliya Chigintseva [3]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:25|21|Sabina Alieva|none|19|Vitaliya Chigintseva [3]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:22|21|Kati Tolmoff|none|7|Irina Shorokhova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:22|21|Kati Tolmoff|none|8|Irina Shorokhova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:24|21|Yana Ignatyeva|none|19|Polina Voronko [2]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140702|0:24|21|Yana Ignatyeva|none|16|Polina Voronko [2]|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140703|0:19|21|Aleksandr Vasilkin|Kristina Virvich|12|Maxim Muzhevlev|Natalia Kachevskaya|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140703|0:19|21|Aleksandr Vasilkin|Kristina Virvich|8|Maxim Muzhevlev|Natalia Kachevskaya|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140703|0:20|21|Mikhail Gorokhov|Yana Ignatyeva|10|Egor Okolov|Sabina Alieva|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140703|0:20|21|Mikhail Gorokhov|Yana Ignatyeva|12|Egor Okolov|Sabina Alieva|3E099E80-B176-4C68-AC6C-D897046499F2|doubles
20140703|0:14|21|Elizaveta Tarasova|none|3|Olga Trofimova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
20140703|0:14|21|Elizaveta Tarasova|none|17|Olga Trofimova|none|3E099E80-B176-4C68-AC6C-D897046499F2|singles
