date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190226|0:51|14|Rasmus Messerschmidt|none|21|Kalle Koljonen|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:51|21|Rasmus Messerschmidt|none|12|Kalle Koljonen|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:51|21|Rasmus Messerschmidt|none|16|Kalle Koljonen|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:38|23|Soong Joo Ven|none|21|Ade Resky Dwicahyo|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:38|21|Soong Joo Ven|none|11|Ade Resky Dwicahyo|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:27|21|Chang Ko-Chi|Lee Chih Chen|18|Lee Yang|Yang Ching Tun|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:27|21|Chang Ko-Chi|Lee Chih Chen|18|Lee Yang|Yang Ching Tun|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:34|21|Lu Chia Hung|none|13|Emre Lale|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:34|21|Lu Chia Hung|none|14|Emre Lale|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:04|21|Iskandar Zulkarnain|none|16|Jason Anthony Ho-Shue [4]|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:04|15|Iskandar Zulkarnain|none|21|Jason Anthony Ho-Shue [4]|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:04|21|Iskandar Zulkarnain|none|19|Jason Anthony Ho-Shue [4]|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:26|21|Ruben Jille|Imke Van Der Aar|13|Pawel Smilowski [1]|Magdalena Swierczynska|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:26|21|Ruben Jille|Imke Van Der Aar|17|Pawel Smilowski [1]|Magdalena Swierczynska|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|1:07|18|Thomas Rouxel |none|21|Kean Yew Loh|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:07|21|Thomas Rouxel |none|16|Kean Yew Loh|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:07|21|Thomas Rouxel |none|14|Kean Yew Loh|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:02|5|Eetu Heino|none|0|Alexander Roovers|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:02|Walkover Win|Eetu Heino|none|Walkover Loss|Alexander Roovers|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:03|21|Lucas Claerbout|none|15|Vladimir Malkov [2]|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:03|12|Lucas Claerbout|none|21|Vladimir Malkov [2]|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|1:03|21|Lucas Claerbout|none|14|Vladimir Malkov [2]|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:34|21|Cheam June Wei|none|18|Milan Ludik|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:34|21|Cheam June Wei|none|15|Milan Ludik|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:42|24|Gaetan Mittelheisser|Audrey Mittelheisser|22|Danny Bawa Chrisnanta|Tan Wei Han|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:42|21|Gaetan Mittelheisser|Audrey Mittelheisser|17|Danny Bawa Chrisnanta|Tan Wei Han|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:53|9|Aliye Demirbag|none|21|Sabrina Jaquet|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:53|21|Aliye Demirbag|none|18|Sabrina Jaquet|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:53|21|Aliye Demirbag|none|18|Sabrina Jaquet|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226||Walkover Win|Robin Tabeling |Selena Piek|Walkover Loss|Nyl Yakura|Kristen Tsai|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:51|21|Vitalij Durkin|Nikolai Ukk|16|Jeppe Bay|Mikkel Mikkelsen|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:51|17|Vitalij Durkin|Nikolai Ukk|21|Jeppe Bay|Mikkel Mikkelsen|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:51|21|Vitalij Durkin|Nikolai Ukk|18|Jeppe Bay|Mikkel Mikkelsen|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:34|21|Milosz Bochat|Adam Cwalina|18|Bjarne Geiss|Jan Colin Völker|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:34|21|Milosz Bochat|Adam Cwalina|14|Bjarne Geiss|Jan Colin Völker|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:46|21|Kim Hyo Min|none|7|Yulia Yosephin Susanto|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:46|21|Kim Hyo Min|none|18|Yulia Yosephin Susanto|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:36|21|David Daugaard|Frederik Søgaard|17|Chang Ko-Chi|Po Li-Wei|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:36|21|David Daugaard|Frederik Søgaard|14|Chang Ko-Chi|Po Li-Wei|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:58|19|Ruselli Hartawan |none|21|Chiang Ying Li|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:58|21|Ruselli Hartawan |none|18|Chiang Ying Li|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:58|21|Ruselli Hartawan |none|18|Chiang Ying Li|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:58|12|Neslihan Yigit |none|21|Julie Dawall Jakobsen|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:58|23|Neslihan Yigit |none|21|Julie Dawall Jakobsen|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:58|21|Neslihan Yigit |none|19|Julie Dawall Jakobsen|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:38|21|Lise Jaques|Flore Vandenhoucke|14|Rutaparna Panda|Arathi Sara Sunil|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:38|22|Lise Jaques|Flore Vandenhoucke|20|Rutaparna Panda|Arathi Sara Sunil|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:41|22|Rasmus Messerschmidt|none|20|Iskandar Zulkarnain|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:41|21|Rasmus Messerschmidt|none|18|Iskandar Zulkarnain|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:58|20|Alexandra Bøje|Rikke Søby|22|Olga Konon|Franziska Volkmann|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:58|21|Alexandra Bøje|Rikke Søby|16|Olga Konon|Franziska Volkmann|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:58|21|Alexandra Bøje|Rikke Søby|14|Olga Konon|Franziska Volkmann|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:33|21|Chang Ching Hui|Yang Ching Tun|17|Pooja Dandu|Sanjana Santosh|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:33|16|Chang Ching Hui|Yang Ching Tun|10|Pooja Dandu|Sanjana Santosh|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:33|Walkover Win|Chang Ching Hui|Yang Ching Tun|Walkover Loss|Pooja Dandu|Sanjana Santosh|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
20190226|0:35|21|Lu Chia Hung|none|18|Lucas Claerbout|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:35|21|Lu Chia Hung|none|13|Lucas Claerbout|none|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|singles
20190226|0:36|21|Inkarat Apisuk |Tanupat Viriyangkura|11|Daniel Hess|Jones Ralfy Jansen|444F7F0E-65BC-4F1E-A602-08ED7B5962A4|doubles
