date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180807|0:14|21|Katie Ho-Shue|none|4|Jacqueline Wendy Myers|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:14|21|Katie Ho-Shue|none|4|Jacqueline Wendy Myers|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:26|21|Megumi Taruno|none|14|Ines Castillo|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:26|21|Megumi Taruno|none|10|Ines Castillo|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:09|Walkover Win|Bruno Barrueto Deza|none|Walkover Loss|Luis Ramon Garrido [1]|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:25|21|Diego Mini |none|8|Yan Tuck Chan|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:25|21|Diego Mini |none|13|Yan Tuck Chan|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:43|17|Sattawat Pongnairat|none|21|Kyle Golding|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:43|21|Sattawat Pongnairat|none|9|Kyle Golding|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:43|21|Sattawat Pongnairat|none|14|Kyle Golding|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:20|21|Antonio Li |none|10|Anthony Chu|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:20|21|Antonio Li |none|14|Anthony Chu|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:14|21|Jose Guevara |none|8|Arunkumar Annamalai|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:14|21|Jose Guevara |none|6|Arunkumar Annamalai|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:26|21|B. R. Sankeerth |none|13|Joshua Yang|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:26|21|B. R. Sankeerth |none|13|Joshua Yang|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:29|21|Bhrugesh Piyush Desai|none|10|Joshua Hurlburt-Yu|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:29|7|Bhrugesh Piyush Desai|none|21|Joshua Hurlburt-Yu|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:29|23|Bhrugesh Piyush Desai|none|21|Joshua Hurlburt-Yu|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:25|Walkover Win|Calvin Lin|none|Walkover Loss|Hilkiya Bl|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:32|21|Kari Gunnarsson |none|14|Alohi Sheung|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:32|21|Kari Gunnarsson |none|19|Alohi Sheung|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
20180807|0:51|14|Kevin Barkman|none|21|Daniel La Torre Regal [2]|none|23434E04-5404-46C9-BC4A-C5A9FB2E7056|singles
