date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190426|0:24|21|Mohamed Abderrahime Belarbi|none|7|Paul Kopolo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:24|21|Mohamed Abderrahime Belarbi|none|16|Paul Kopolo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:19|21|Alhaji Aliyu Shehu|none|9|Franck Ahi|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:19|21|Alhaji Aliyu Shehu|none|8|Franck Ahi|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:21|21|Israel Wanagalya|none|11|Azim Issa|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:21|21|Israel Wanagalya|none|11|Azim Issa|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:21|21|Jakim Renaud|none|16|Dimand Ja Okito|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:21|21|Jakim Renaud|none|6|Dimand Ja Okito|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:32|21|Gideon Babalola|none|8|Abdalla Abdelhakim Hussein|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:32|21|Gideon Babalola|none|14|Abdalla Abdelhakim Hussein|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:45|19|Aatish Lubah|none|21|Jie Luo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:45|21|Aatish Lubah|none|6|Jie Luo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:45|21|Aatish Lubah|none|9|Jie Luo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:24|21|Abdelrahman Abdelhakim|none|14|Akpa Jerome Ibrahim Agnimel|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:24|21|Abdelrahman Abdelhakim|none|12|Akpa Jerome Ibrahim Agnimel|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:40|18|Ebenezer Andrews|none|21|Tobiloba Oyewole|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:40|21|Ebenezer Andrews|none|15|Tobiloba Oyewole|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:40|21|Ebenezer Andrews|none|12|Tobiloba Oyewole|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:23|21|Bongani Von Bodenstein|none|6|Emmanuel Botwe|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:23|21|Bongani Von Bodenstein|none|6|Emmanuel Botwe|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:22|21|Christopher Paul|none|14|Thabani Mathe|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:22|21|Christopher Paul|none|9|Thabani Mathe|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:25|21|Koceila Mammeri|none|9|Fred Kirabo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:25|21|Koceila Mammeri|none|10|Fred Kirabo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:18|21|Jean Bernard Bongout|none|14|Raffick Alfonso|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:18|21|Jean Bernard Bongout|none|8|Raffick Alfonso|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:23|21|Alex Babu|none|15|Ousmane Ouedraogo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:23|21|Alex Babu|none|15|Ousmane Ouedraogo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Adel Hamek|none|8|Leykun Semere|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Adel Hamek|none|10|Leykun Semere|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:39|22|Gbenoukpo Sebastiano Degbe|none|20|Alex Zolobe|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:39|8|Gbenoukpo Sebastiano Degbe|none|21|Alex Zolobe|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:39|21|Gbenoukpo Sebastiano Degbe|none|14|Alex Zolobe|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Michael Opoku Baah|none|19|Daniel Mihigo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Michael Opoku Baah|none|15|Daniel Mihigo|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:25|21|Clement Krobakpo|none|10|Jarred Elliott|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:25|21|Clement Krobakpo|none|10|Jarred Elliott|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:32|21|Youcef Sabri Medel|none|7|Jean Yves Tokou|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:32|21|Youcef Sabri Medel|none|12|Jean Yves Tokou|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:34|21|Koami Vivien Amoussou|none|15|Ashel Dziva|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:34|15|Koami Vivien Amoussou|none|21|Ashel Dziva|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:34|21|Koami Vivien Amoussou|none|18|Ashel Dziva|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:35|28|Davies Senono|none|26|Kervin Ghislain|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:35|13|Davies Senono|none|21|Kervin Ghislain|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:35|21|Davies Senono|none|16|Kervin Ghislain|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:35|13|Ruan Snyman|none|21|George Ayittey|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:35|21|Ruan Snyman|none|16|George Ayittey|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:35|21|Ruan Snyman|none|15|George Ayittey|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:30|21|Ali Ahmed El Khateeb|none|11|Carin Toudonou Rojuel Assogba|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:30|21|Ali Ahmed El Khateeb|none|12|Carin Toudonou Rojuel Assogba|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Lorna Bodha|none|7|Mbuyi Bernice Bokotsha|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Lorna Bodha|none|6|Mbuyi Bernice Bokotsha|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:22|21|Johanita Scholtz|none|15|Ganesha Mungrah|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:22|21|Johanita Scholtz|none|12|Ganesha Mungrah|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:26|21|Allisen Camille|none|17|Linda Mazri|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:26|21|Allisen Camille|none|17|Linda Mazri|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:26|21|Uchechukwu Deborah Ukeh|none|13|Grace ANNABEL Atipaka|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:26|21|Uchechukwu Deborah Ukeh|none|16|Grace ANNABEL Atipaka|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:32|21|Esme Osseane Davila Loess|none|13|Kisanet Heyelom|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:32|21|Esme Osseane Davila Loess|none|18|Kisanet Heyelom|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Halla Bouksani|none|14|Lou Gohi Theophile Annick Doulou|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Halla Bouksani|none|16|Lou Gohi Theophile Annick Doulou|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:21|21|Megan De Beer|none|4|Jennifer Abitty|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:21|21|Megan De Beer|none|10|Jennifer Abitty|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Jana Ashraf|none|9|Katambua Odia|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Jana Ashraf|none|8|Katambua Odia|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:16|21|Malak Ouchefoun|none|5|Kuzivakwashe Tritania Mudzamiri|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:16|21|Malak Ouchefoun|none|4|Kuzivakwashe Tritania Mudzamiri|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:25|22|Gladys Mbabazi|none|20|Michelle Butler-Emmett|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:25|21|Gladys Mbabazi|none|14|Michelle Butler-Emmett|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Nour Ahmed Youssri|none|7|Eyram YAA Migbodzi|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:20|21|Nour Ahmed Youssri|none|5|Eyram YAA Migbodzi|none|D3291E67-045C-4924-9E46-DE6EA4F98100|singles
20190426|0:27|21|Jarred Elliott|Megan De Beer|6|Zola Wapi|Mbuyi Bernice Bokotsha|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:27|21|Jarred Elliott|Megan De Beer|9|Zola Wapi|Mbuyi Bernice Bokotsha|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:21|21|Koceila Mammeri|Linda Mazri|17|Habeeb Temitope Bello|Ramatu Yakubu|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:21|21|Koceila Mammeri|Linda Mazri|7|Habeeb Temitope Bello|Ramatu Yakubu|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:19|21|Israel Wanagalya|Betty Apio|9|Akpa Jerome Ibrahim Agnimel|Aïcha Laurene N'Dia|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:19|21|Israel Wanagalya|Betty Apio|12|Akpa Jerome Ibrahim Agnimel|Aïcha Laurene N'Dia|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:24|21|Daniel Sam|Jennifer Abitty|18|Ali Ahmed El Khateeb|Nour Ahmed Youssri|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:24|21|Daniel Sam|Jennifer Abitty|16|Ali Ahmed El Khateeb|Nour Ahmed Youssri|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
20190426|0:21|21|Ruan Snyman|Michelle Butler-Emmett|7|Gbenoukpo Sebastiano Degbe|Pascaline Ludoskine Yeno Vitou|D3291E67-045C-4924-9E46-DE6EA4F98100|doubles
