date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161004|0:19|21|Pakkawat Vilailak|Supanida Katethong|14|Kamaldeep Singh|Zhi Qing Lee|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:19|21|Pakkawat Vilailak|Supanida Katethong|11|Kamaldeep Singh|Zhi Qing Lee|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:21|21|Watchara Buranakuea|Thidarat Kleebyeesoon|13|Hendra Tandjaya|Fitria Ayu Nawangwulan|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:21|21|Watchara Buranakuea|Thidarat Kleebyeesoon|18|Hendra Tandjaya|Fitria Ayu Nawangwulan|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:41|21|Tam Chun Hei |Ng Tsz Yau|18|Lu Ching Yao|Huang Mei Ching|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:41|13|Tam Chun Hei |Ng Tsz Yau|21|Lu Ching Yao|Huang Mei Ching|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:41|21|Tam Chun Hei |Ng Tsz Yau|17|Lu Ching Yao|Huang Mei Ching|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:35|21|Pachaarapol Nipornram|Ruethaichanok Laisuan|18|Panachai Worasaktayanan|Alisa Sapniti|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:35|15|Pachaarapol Nipornram|Ruethaichanok Laisuan|21|Panachai Worasaktayanan|Alisa Sapniti|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:35|21|Pachaarapol Nipornram|Ruethaichanok Laisuan|8|Panachai Worasaktayanan|Alisa Sapniti|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:40|18|Bowornwatanuwong Phutthaporn|Desiree, Hao Shan Siow|21|Wasapon Uttamang|Thanaporn Kiawcha-On|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:40|21|Bowornwatanuwong Phutthaporn|Desiree, Hao Shan Siow|17|Wasapon Uttamang|Thanaporn Kiawcha-On|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:40|21|Bowornwatanuwong Phutthaporn|Desiree, Hao Shan Siow|18|Wasapon Uttamang|Thanaporn Kiawcha-On|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:19|21|Hee Chun Mak|Yeung Nga Ting|11|Piyapat Wannalee|Thanapim Kaweenuntavong|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:19|21|Hee Chun Mak|Yeung Nga Ting|11|Piyapat Wannalee|Thanapim Kaweenuntavong|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:18|21|Pannawit Thongnuam|Papatsorn Eksorakul|13|Drajat Beno|Novi Indriani|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:18|21|Pannawit Thongnuam|Papatsorn Eksorakul|12|Drajat Beno|Novi Indriani|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:23|21|Hilkiya Bl |Natasha Herloardjo|15|Zachary Chiong Shen Sia|Anna Ching Yik Cheong|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:23|21|Hilkiya Bl |Natasha Herloardjo|14|Zachary Chiong Shen Sia|Anna Ching Yik Cheong|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:40|12|Sukrit Maunglai|Natdanai Uakoolwarawat|21|Yohanes Timothy Yacob Rambitan|Nathaniel Ernestan Sulistyo|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:40|21|Sukrit Maunglai|Natdanai Uakoolwarawat|19|Yohanes Timothy Yacob Rambitan|Nathaniel Ernestan Sulistyo|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:40|21|Sukrit Maunglai|Natdanai Uakoolwarawat|9|Yohanes Timothy Yacob Rambitan|Nathaniel Ernestan Sulistyo|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:24|21|Sabar Karyaman Gutama|Franky Wijaya|14|Yan Sheng Lee [3]|Woon Fui Lin|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:24|11|Sabar Karyaman Gutama|Franky Wijaya|8|Yan Sheng Lee [3]|Woon Fui Lin|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:24|Walkover Win|Sabar Karyaman Gutama|Franky Wijaya|Walkover Loss|Yan Sheng Lee [3]|Woon Fui Lin|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:44|19|Alwi Mahardika|Wisnu Cahyo Saputro|21|Teerasak Kleebyeesun|Chavapat Tochareonbodee|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:44|21|Alwi Mahardika|Wisnu Cahyo Saputro|15|Teerasak Kleebyeesun|Chavapat Tochareonbodee|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:44|22|Alwi Mahardika|Wisnu Cahyo Saputro|20|Teerasak Kleebyeesun|Chavapat Tochareonbodee|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:16|21|Jian Yi Lee |Zhen Ting Lim|7|Thaptimdong Arkornnit|Boonyakorn Thumpanichwong|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:16|21|Jian Yi Lee |Zhen Ting Lim|8|Thaptimdong Arkornnit|Boonyakorn Thumpanichwong|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:25|21|Ng Wing Yung|Yuen Sin Ying|10|Hsin Tien Chang|Li Ting Peng|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:25|21|Ng Wing Yung|Yuen Sin Ying|16|Hsin Tien Chang|Li Ting Peng|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:23|21|Karnphop Atthaviroj |none|14|Thanapat Rungrattanapon|none|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|singles
20161004|0:23|21|Karnphop Atthaviroj |none|17|Thanapat Rungrattanapon|none|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|singles
20161004|0:21|21|Yodsakorn Nualnooplong|none|7|Phakorn Chotphinit|none|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|singles
20161004|0:21|21|Yodsakorn Nualnooplong|none|8|Phakorn Chotphinit|none|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|singles
20161004|0:51|19|Chayanin Mekmusik|none|21|Vichayapong Kanjanakeereewong [8]|none|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|singles
20161004|0:51|21|Chayanin Mekmusik|none|18|Vichayapong Kanjanakeereewong [8]|none|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|singles
20161004|0:51|21|Chayanin Mekmusik|none|9|Vichayapong Kanjanakeereewong [8]|none|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|singles
20161004|0:21|21|Mohamad Arif Abdul Latif|Watchara Buranakuea|14|Saharat Muchshima|Pongsakorn Thongkham|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
20161004|0:21|21|Mohamad Arif Abdul Latif|Watchara Buranakuea|14|Saharat Muchshima|Pongsakorn Thongkham|C193AA46-BBB2-48FD-BA7A-3B6E134A98BF|doubles
