date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160303|0:28|21|Indra Bagus Ade Chandra|none|10|Bastian Lizama|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:28|21|Indra Bagus Ade Chandra|none|10|Bastian Lizama|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:20|21|Jhonatan Wu Zheng|none|12|Alfonso Garcia-Rosell|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:20|21|Jhonatan Wu Zheng|none|12|Alfonso Garcia-Rosell|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:24|21|Luis Ramon Garrido|none|7|Diego Subauste Tokumura|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:24|21|Luis Ramon Garrido|none|10|Diego Subauste Tokumura|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:51|21|Luka Wraber |none|15|Hsu Jui Ting|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:51|13|Luka Wraber |none|21|Hsu Jui Ting|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:51|21|Luka Wraber |none|8|Hsu Jui Ting|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:33|21|Job Castillo|none|18|Bruno Barrueto Deza|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:33|21|Job Castillo|none|10|Bruno Barrueto Deza|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:27|21|Diego Mini|none|12|Ivan Leon|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:27|21|Diego Mini|none|10|Ivan Leon|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:32|21|Martin Giuffre|none|13|Jose Undurraga|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:32|21|Martin Giuffre|none|16|Jose Undurraga|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:24|21|Lino Munoz|none|5|Santiago De La Oliva Alzamora|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:24|21|Lino Munoz|none|14|Santiago De La Oliva Alzamora|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:18|17|Rosario Maddaloni|none|21|Alexander Persson|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:18|Walkover Win|Rosario Maddaloni|none|Walkover Loss|Alexander Persson|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:31|21|Yusuke Onodera|none|5|Mario Cuba|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|0:31|21|Yusuke Onodera|none|12|Mario Cuba|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
20160303|1:08|21|Milan Ludik |none|14|Maxime Moreels|none|640A3402-43F7-43C7-9FCD-C0E77129ED80|singles
