date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151013|0:21|21|Ksenia Polikarpova |none|2|Behnaz Pirzamanbein|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:21|21|Ksenia Polikarpova |none|12|Behnaz Pirzamanbein|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:54|21|Airi Mikkela|none|10|Camilla Martens|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:54|22|Airi Mikkela|none|24|Camilla Martens|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:54|22|Airi Mikkela|none|20|Camilla Martens|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:20|21|Chen Hsiao Huan|none|8|Monika Radovska|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:20|21|Chen Hsiao Huan|none|11|Monika Radovska|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:47|21|Julie Finne-Ipsen|none|12|Martina Repiska|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:47|17|Julie Finne-Ipsen|none|21|Martina Repiska|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:47|21|Julie Finne-Ipsen|none|16|Martina Repiska|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:23|21|Anna Thea Madsen |none|12|Laura Vana|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:23|21|Anna Thea Madsen |none|8|Laura Vana|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:35|21|Mette Poulsen|none|11|Anna Rankin|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:35|22|Mette Poulsen|none|20|Anna Rankin|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:32|21|Chloe Magee |none|13|Kati Tolmoff|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:32|21|Chloe Magee |none|16|Kati Tolmoff|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:42|22|Soren Gravholt|Maiken Fruergaard|20|Jonatan Nordh [1]|Emelie Fabbeke|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:42|21|Soren Gravholt|Maiken Fruergaard|18|Jonatan Nordh [1]|Emelie Fabbeke|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:25|21|Yoo Yeon Seong|Chang Ye Na|10|Mads Emil Christensen|Cecilie Sentow|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:25|21|Yoo Yeon Seong|Chang Ye Na|11|Mads Emil Christensen|Cecilie Sentow|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|1:06|24|Kenta Kazuno|Ayane Kurihara|22|Mathias Christiansen [4]|Lena Grebak|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|1:06|14|Kenta Kazuno|Ayane Kurihara|21|Mathias Christiansen [4]|Lena Grebak|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|1:06|21|Kenta Kazuno|Ayane Kurihara|15|Mathias Christiansen [4]|Lena Grebak|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:30|21|Marvin Emil Seidel|Linda Efler|15|Bastian Kersaudy|Lea Palermo|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:30|21|Marvin Emil Seidel|Linda Efler|19|Bastian Kersaudy|Lea Palermo|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:51|24|Nico Ruponen|Amanda Hogstrom|22|Robert Mateusiak|Nadiezda Zieba|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:51|10|Nico Ruponen|Amanda Hogstrom|21|Robert Mateusiak|Nadiezda Zieba|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:51|22|Nico Ruponen|Amanda Hogstrom|20|Robert Mateusiak|Nadiezda Zieba|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|1:02|21|Solgyu Choi |Eom Hye Won|17|Hsiao-Lin Wu|Hsieh Pei Chen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|1:02|20|Solgyu Choi |Eom Hye Won|22|Hsiao-Lin Wu|Hsieh Pei Chen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|1:02|21|Solgyu Choi |Eom Hye Won|16|Hsiao-Lin Wu|Hsieh Pei Chen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:33|21|Lee Yong Dae |Lee So Hee|19|Kasper Antonsen|Amanda Madsen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:33|21|Lee Yong Dae |Lee So Hee|17|Kasper Antonsen|Amanda Madsen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:27|23|Lin Chia Yu|Wu Ti Jung|21|Mark Lamsfuss|Isabel Herttrich|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:27|21|Lin Chia Yu|Wu Ti Jung|17|Mark Lamsfuss|Isabel Herttrich|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:33|21|Rasmus Messerschmidt|none|19|Fabian Roth|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:33|21|Rasmus Messerschmidt|none|18|Fabian Roth|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|1:03|11|Kim Bruun|none|21|Kenichi Tago [4]|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|1:03|21|Kim Bruun|none|17|Kenichi Tago [4]|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|1:03|21|Kim Bruun|none|16|Kenichi Tago [4]|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:56|19|Raul Must|none|21|Joachim Persson|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:56|22|Raul Must|none|20|Joachim Persson|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:56|21|Raul Must|none|14|Joachim Persson|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:37|21|Rasmus Fladberg|none|15|Marius Myhre|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:37|21|Rasmus Fladberg|none|16|Marius Myhre|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:32|21|Emil Holst|none|15|Petr Koukal|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:32|21|Emil Holst|none|11|Petr Koukal|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:26|21|Flemming Quach|none|9|Alistair Casey|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:26|21|Flemming Quach|none|10|Alistair Casey|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|1:13|21|Christian Lind Thomsen|none|11|Andre Kurniawan Tedjono|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|1:13|17|Christian Lind Thomsen|none|21|Andre Kurniawan Tedjono|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|1:13|21|Christian Lind Thomsen|none|17|Andre Kurniawan Tedjono|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:28|21|Steffen Rasmussen|none|9|Jocelyn Deschamp|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:28|21|Steffen Rasmussen|none|11|Jocelyn Deschamp|none|E4410764-3F53-4BE8-9FCF-51A92DC74D74|singles
20151013|0:20|21|Jung Kyung Eun|Shin Seung Chan|5|Emilie Juul Moller|Cecilie Sentow|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:20|21|Jung Kyung Eun|Shin Seung Chan|11|Emilie Juul Moller|Cecilie Sentow|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013||Walkover Win|Amanda Madsen|Isabella Nielsen|Walkover Loss|Sara Lundgaard|Ditte Soby Hansen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:24|21|Chang Ye Na|Lee So Hee|6|Camilla Martens|Josephine Van Zaane|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:24|21|Chang Ye Na|Lee So Hee|9|Camilla Martens|Josephine Van Zaane|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:55|21|Linda Efler|Lara Kaepplein|17|Cecilie Finne-Ipsen|Julie Finne-Ipsen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:55|16|Linda Efler|Lara Kaepplein|21|Cecilie Finne-Ipsen|Julie Finne-Ipsen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
20151013|0:55|21|Linda Efler|Lara Kaepplein|19|Cecilie Finne-Ipsen|Julie Finne-Ipsen|E4410764-3F53-4BE8-9FCF-51A92DC74D74|doubles
