date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181113|0:34|21|Lee Cheuk Yiu|none|17|Kan Chao Yu|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:34|21|Lee Cheuk Yiu|none|18|Kan Chao Yu|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:39|15|Yonny Chung|Wu Yi Ting|21|Wang Zekang|Zheng Yu|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:39|21|Yonny Chung|Wu Yi Ting|19|Wang Zekang|Zheng Yu|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:39|21|Yonny Chung|Wu Yi Ting|12|Wang Zekang|Zheng Yu|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:27|21|Hsu Jen Hao |none|14|Henrikho Kho Wibowo|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:27|21|Hsu Jen Hao |none|15|Henrikho Kho Wibowo|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:20|21|Chan Yin Chak|none|4|Wong Hin Shun|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:20|21|Chan Yin Chak|none|5|Wong Hin Shun|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:37|23|Hee Chun Mak|Yeung Nga Ting|21|Kim Hwi Tae|Kim Hye Jeong|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:37|21|Hee Chun Mak|Yeung Nga Ting|15|Kim Hwi Tae|Kim Hye Jeong|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:19|21|Hu Yun|none|5|Chen Jingtong|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:19|21|Hu Yun|none|9|Chen Jingtong|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:41|21|Lucas Corvee |none|13|Toby Penty|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:41|23|Lucas Corvee |none|21|Toby Penty|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:16|21|Sheng Xiaodong|none|5|Lai Shi Hang (Stephen)|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:16|21|Sheng Xiaodong|none|9|Lai Shi Hang (Stephen)|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:46|16|Takuro Hoki|Wakana Nagahara|21|Yeung Ming Nok|Ng Tsz Yau|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:46|21|Takuro Hoki|Wakana Nagahara|17|Yeung Ming Nok|Ng Tsz Yau|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:46|21|Takuro Hoki|Wakana Nagahara|14|Yeung Ming Nok|Ng Tsz Yau|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|1:00|14|Tanongsak Saensomboonsuk|none|21|Chong Wei Feng [4]|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|1:00|21|Tanongsak Saensomboonsuk|none|13|Chong Wei Feng [4]|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|1:00|21|Tanongsak Saensomboonsuk|none|17|Chong Wei Feng [4]|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:25|21|Ou Xuanyi|Feng Xueying|7|Ho Wai Lun|Yuen Sin Ying|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:25|21|Ou Xuanyi|Feng Xueying|18|Ho Wai Lun|Yuen Sin Ying|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:20|21|Ruselli Hartawan|none|7|Lee Chia Hsin [1]|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:20|21|Ruselli Hartawan|none|16|Lee Chia Hsin [1]|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:32|21|Li Xuerui|none|8|Kim Hyo Min|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:32|21|Li Xuerui|none|15|Kim Hyo Min|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:50|24|Dinar Dyah Ayustine|none|26|Chiang Ying Li|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:50|21|Dinar Dyah Ayustine|none|12|Chiang Ying Li|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:50|21|Dinar Dyah Ayustine|none|11|Chiang Ying Li|none|E690654F-67E6-4B06-B3D4-12C0A487388B|singles
20181113|0:28|21|Chang Ko-Chi|Lu Chia Pin|13|Tinn Isriyanet [2]|Tanupat Viriyangkura|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:28|21|Chang Ko-Chi|Lu Chia Pin|17|Tinn Isriyanet [2]|Tanupat Viriyangkura|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:16|21|Lui Lok Lok|Tsang Hiu Yan|19|Chae Yujung|Kim So Yeong|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:16|Walkover Win|Lui Lok Lok|Tsang Hiu Yan|Walkover Loss|Chae Yujung|Kim So Yeong|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:33|21|Chung Eui Seok |Kim Dukyoung|18|Lee Sheng Mu|Yang Po-Hsuan|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
20181113|0:33|22|Chung Eui Seok |Kim Dukyoung|20|Lee Sheng Mu|Yang Po-Hsuan|E690654F-67E6-4B06-B3D4-12C0A487388B|doubles
