date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180315|0:43|15|Antonis Adamou|none|21|Amir Sela|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:43|21|Antonis Adamou|none|14|Amir Sela|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:43|21|Antonis Adamou|none|13|Amir Sela|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315||Walkover Win|Michael Lebedev|none|Walkover Loss|Victor Lindahl|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:24|21|Varun Kapur|none|1|Nir Segal|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:24|21|Varun Kapur|none|3|Nir Segal|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:32|21|Enrico Baroni|none|8|Yoav Amit|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:32|21|Enrico Baroni|none|10|Yoav Amit|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:42|21|Andrej Antoska|none|17|Gal Hiram|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:42|21|Andrej Antoska|none|6|Gal Hiram|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:47|19|Ivan Medynskiy|none|21|Harry Morgan|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:47|23|Ivan Medynskiy|none|21|Harry Morgan|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:47|21|Ivan Medynskiy|none|12|Harry Morgan|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:59|21|Joao Chang|none|10|Szymon Stokfisz|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:59|21|Joao Chang|none|12|Szymon Stokfisz|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:27|21|Samuel Cassar|none|12|Leon Kugel|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:27|21|Samuel Cassar|none|15|Leon Kugel|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:31|21|Luka Ban|none|12|Daniel Popescu|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:31|21|Luka Ban|none|11|Daniel Popescu|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:23|21|Hans-Kristjan Pilve|none|10|Rotem Mogilner|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
20180315|0:23|21|Hans-Kristjan Pilve|none|13|Rotem Mogilner|none|0714198E-9789-4B44-A5BC-1433CD1581EC|singles
