date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150106|0:05|Walkover Win|Kunlavut Vitidsarn|none|Walkover Loss|Zachariah Joshiano Sumanti|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:27|21|Zhan Jun Woo|none|17|Yodsakorn Nualnooplong|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:27|21|Zhan Jun Woo|none|10|Yodsakorn Nualnooplong|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:12|24|Ath Chiengwong|none|22|Pasin Songhong|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:12|21|Ath Chiengwong|none|17|Pasin Songhong|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:05|Walkover Win|Artit Uthaiteerakomen|none|Walkover Loss|Himanshu Saroha|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:21|21|Kachain Buarung|none|12|Setthanan Piyawatcharavijit|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:21|21|Kachain Buarung|none|8|Setthanan Piyawatcharavijit|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:35|21|Kandis Wanaroon|none|18|Thanesh Veerappan|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:35|21|Kandis Wanaroon|none|11|Thanesh Veerappan|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:25|21|Jaras Jindawong Polakorn |none|9|Kittipong Dumrongjitti|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:25|21|Jaras Jindawong Polakorn |none|15|Kittipong Dumrongjitti|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:46|15|Yong Hen Sim|none|21|Tanapat Kittinaowarat|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:46|21|Yong Hen Sim|none|13|Tanapat Kittinaowarat|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:46|21|Yong Hen Sim|none|17|Tanapat Kittinaowarat|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:28|21|Satinder Malik|none|11|Apinop Arayacharoen|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:28|21|Satinder Malik|none|17|Apinop Arayacharoen|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:44|21|Rutjatorn Ponwong |none|13|Weerapat Phakjarung|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:44|18|Rutjatorn Ponwong |none|21|Weerapat Phakjarung|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:44|21|Rutjatorn Ponwong |none|17|Weerapat Phakjarung|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:23|21|Teerawin Phansirichod|none|10|Kittisuk Kittichotphan|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:23|21|Teerawin Phansirichod|none|14|Kittisuk Kittichotphan|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:21|21|Muhammad Syafiq A Sanusi|none|10|Thanabodee Syncharoen|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:21|21|Muhammad Syafiq A Sanusi|none|16|Thanabodee Syncharoen|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:27|21|Tawan Huansuriya|none|10|Ming Shun Tan [7]|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:27|21|Tawan Huansuriya|none|9|Ming Shun Tan [7]|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:05|Walkover Win|Pongpol Boonnak|none|Walkover Loss|Yew Leong Wong|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:24|21|Piyapat Wannalee|none|13|Yehezkiel Fritz Mainaky|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:24|21|Piyapat Wannalee|none|9|Yehezkiel Fritz Mainaky|none|19DA2D18-0B20-4870-AC0E-6822AEEF880B|singles
20150106|0:13|17|Muhammad Fachrikar|Muhammad Reza Pahlevi Isfahani|16|Chetan Anand|Raunaq Muradia|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:13|Walkover Win|Muhammad Fachrikar|Muhammad Reza Pahlevi Isfahani|Walkover Loss|Chetan Anand|Raunaq Muradia|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:24|21|Cholprasertsuk Kritti|Tovannakasem Samatcha|18|Kean Hean Loh|Guang Liang Jason Wong|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:24|21|Cholprasertsuk Kritti|Tovannakasem Samatcha|12|Kean Hean Loh|Guang Liang Jason Wong|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:17|10|Viky Anindita|Hendra Tandjaya|21|Phayoongpol Thatphong|Wasapon Uttamang|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:17|8|Viky Anindita|Hendra Tandjaya|11|Phayoongpol Thatphong|Wasapon Uttamang|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:17|Walkover Win|Viky Anindita|Hendra Tandjaya|Walkover Loss|Phayoongpol Thatphong|Wasapon Uttamang|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:18|21|Jun Bong Chan|Duck Young Kim|10|Chaloempon Charoenkitamorn|Korawi Pikunngam|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:18|21|Jun Bong Chan|Duck Young Kim|12|Chaloempon Charoenkitamorn|Korawi Pikunngam|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:23|21|Darren Isaac Devadass|Muhammad Amzzar Zainuddin|8|Kittipong Dumrongjitti|Jedthrin Jermjutitum|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:23|21|Darren Isaac Devadass|Muhammad Amzzar Zainuddin|13|Kittipong Dumrongjitti|Jedthrin Jermjutitum|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:26|21|Tinn Isriyanate|Kittisak Namdash|10|Eizlan Shah Misfahul Muneer|Thanesh Veerappan|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:26|21|Tinn Isriyanate|Kittisak Namdash|17|Eizlan Shah Misfahul Muneer|Thanesh Veerappan|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:28|21|Asuro Rizko|Ellen Frederika Setiawan|17|Porpol Chandawan|Supakit Jandara|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:28|21|Asuro Rizko|Ellen Frederika Setiawan|14|Porpol Chandawan|Supakit Jandara|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:25|21|Tai An Khang|Hong Kheng Yew|9|Panu Rakmesi|Thanawats Udomsipronkul|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:25|21|Tai An Khang|Hong Kheng Yew|18|Panu Rakmesi|Thanawats Udomsipronkul|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:50|21|Jian Yi Lee|Zhen Ting Lim|16|Kittithat Cheiklinthes|Wipoo Inkaew|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:50|16|Jian Yi Lee|Zhen Ting Lim|21|Kittithat Cheiklinthes|Wipoo Inkaew|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:50|21|Jian Yi Lee|Zhen Ting Lim|17|Kittithat Cheiklinthes|Wipoo Inkaew|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:21|21|Kachain Buarung|Ath Chiengwong|9|Harinder Malik|Satinder Malik|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:21|21|Kachain Buarung|Ath Chiengwong|14|Harinder Malik|Satinder Malik|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:26|21|Kwan Ting Sean Lee|Kean Yew Loh|19|Napat Choonhajinda|Soravis Pijitpalakad|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:26|22|Kwan Ting Sean Lee|Kean Yew Loh|20|Napat Choonhajinda|Soravis Pijitpalakad|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:24|22|Kok Pong Loke|Kay Ee Yeoh|20|Jayank Ahuja|Nishant Dua|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:24|21|Kok Pong Loke|Kay Ee Yeoh|17|Jayank Ahuja|Nishant Dua|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106||Walkover Win|Chao Huang|Ming Shun Tan|Walkover Loss|Nonthawat Sattanako|Panachai Worasaktyanan|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:21|21|Mek Narongrit|Krit Tantianankul|11|Pit Seng Low|Siwadol Sookprasdit|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:21|21|Mek Narongrit|Krit Tantianankul|13|Pit Seng Low|Siwadol Sookprasdit|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:52|21|Muhammad Hafifi Hashim|Wei Song Law|17|Noppasit Boonsom|Channarong Malaikrong|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:52|19|Muhammad Hafifi Hashim|Wei Song Law|21|Noppasit Boonsom|Channarong Malaikrong|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:52|21|Muhammad Hafifi Hashim|Wei Song Law|19|Noppasit Boonsom|Channarong Malaikrong|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:05|Walkover Win|Rachata Chandawan|Chavapat Tochareonbodee|Walkover Loss|Sandeep Anand|Himanshu Saroha|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106||Walkover Win|Tanapat Kittinaowarat|Artit Uthaiteerakomen|Walkover Loss|Bae Kwon Young|Jung Jae Wook|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:21|21|Kona Tarun|Santosh Ravuri|14|Chutachalearm Buakhaw|Kandis Wanaroon|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
20150106|0:21|21|Kona Tarun|Santosh Ravuri|14|Chutachalearm Buakhaw|Kandis Wanaroon|19DA2D18-0B20-4870-AC0E-6822AEEF880B|doubles
