date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151110|0:51|21|Qiao Bin|none|15|Wang Tzu Wei [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:51|21|Qiao Bin|none|18|Wang Tzu Wei [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:17|21|Ren Pengbo|none|3|Abdelrahman Kashkal|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:17|21|Ren Pengbo|none|9|Abdelrahman Kashkal|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:24|21|Zhu Siyuan|none|7|Ali Ahmed El Khateeb|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:24|21|Zhu Siyuan|none|10|Ali Ahmed El Khateeb|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:57|15|Chen Hsiao Huan|none|21|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:57|21|Chen Hsiao Huan|none|18|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:57|21|Chen Hsiao Huan|none|15|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:31|21|Zhou Zeqi|none|8|Alistair Casey|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:31|21|Zhou Zeqi|none|18|Alistair Casey|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:30|21|Haichao Liu|none|12|Wibowo Kho Henrikho|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:30|21|Haichao Liu|none|17|Wibowo Kho Henrikho|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:56|21|Shi Yuqi|none|13|Huang Yuxiang [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:56|18|Shi Yuqi|none|21|Huang Yuxiang [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:56|21|Shi Yuqi|none|10|Huang Yuxiang [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:42|21|Qiao Bin|none|16|Ren Pengbo|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:42|21|Qiao Bin|none|9|Ren Pengbo|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:57|14|Guo Kai|none|21|Zhu Siyuan|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:57|22|Guo Kai|none|20|Zhu Siyuan|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:57|21|Guo Kai|none|16|Zhu Siyuan|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:16|21|Chen Hsiao Huan|none|4|Doha Hany [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:16|21|Chen Hsiao Huan|none|6|Doha Hany [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:29|21|Kenta Kazuno|Ayane Kurihara|11|Kim Gi Jung [2]|Shin Seung Chan|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151110|0:29|21|Kenta Kazuno|Ayane Kurihara|17|Kim Gi Jung [2]|Shin Seung Chan|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151110|0:39|21|Zhou Zeqi|none|17|Wu Xin|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:39|21|Zhou Zeqi|none|14|Wu Xin|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:38|21|Shi Yuqi|none|19|Haichao Liu|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:38|21|Shi Yuqi|none|18|Haichao Liu|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|1:00|21|Chen Xiaoxin|none|11|Hui Xirui [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|1:00|16|Chen Xiaoxin|none|21|Hui Xirui [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|1:00|21|Chen Xiaoxin|none|16|Hui Xirui [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151110|0:14|21|Liu Yuchen|Ou Dongni|5|Ali Ahmed El Khateeb|Doha Hany|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151110|0:14|21|Liu Yuchen|Ou Dongni|3|Ali Ahmed El Khateeb|Doha Hany|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151110|0:20|21|Yoo Yeon Seong|Chang Ye Na|11|Abdelrahman Kashkal|Hadia Hosny|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151110|0:20|21|Yoo Yeon Seong|Chang Ye Na|11|Abdelrahman Kashkal|Hadia Hosny|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151111|0:51|21|Qiao Bin|none|15|Wang Tzu Wei [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:51|21|Qiao Bin|none|18|Wang Tzu Wei [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:17|21|Ren Pengbo|none|3|Abdelrahman Kashkal|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:17|21|Ren Pengbo|none|9|Abdelrahman Kashkal|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:24|21|Zhu Siyuan|none|7|Ali Ahmed El Khateeb|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:24|21|Zhu Siyuan|none|10|Ali Ahmed El Khateeb|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:57|15|Chen Hsiao Huan|none|21|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:57|21|Chen Hsiao Huan|none|18|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:57|21|Chen Hsiao Huan|none|15|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:31|21|Zhou Zeqi|none|8|Alistair Casey|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:31|21|Zhou Zeqi|none|18|Alistair Casey|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:30|21|Haichao Liu|none|12|Wibowo Kho Henrikho|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:30|21|Haichao Liu|none|17|Wibowo Kho Henrikho|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:56|21|Shi Yuqi|none|13|Huang Yuxiang [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:56|18|Shi Yuqi|none|21|Huang Yuxiang [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:56|21|Shi Yuqi|none|10|Huang Yuxiang [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:42|21|Qiao Bin|none|16|Ren Pengbo|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:42|21|Qiao Bin|none|9|Ren Pengbo|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:57|14|Guo Kai|none|21|Zhu Siyuan|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:57|22|Guo Kai|none|20|Zhu Siyuan|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:57|21|Guo Kai|none|16|Zhu Siyuan|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:16|21|Chen Hsiao Huan|none|4|Doha Hany [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:16|21|Chen Hsiao Huan|none|6|Doha Hany [4]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:29|21|Kenta Kazuno|Ayane Kurihara|11|Kim Gi Jung [2]|Shin Seung Chan|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151111|0:29|21|Kenta Kazuno|Ayane Kurihara|17|Kim Gi Jung [2]|Shin Seung Chan|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151111|0:39|21|Zhou Zeqi|none|17|Wu Xin|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:39|21|Zhou Zeqi|none|14|Wu Xin|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:38|21|Shi Yuqi|none|19|Haichao Liu|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:38|21|Shi Yuqi|none|18|Haichao Liu|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|1:00|21|Chen Xiaoxin|none|11|Hui Xirui [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|1:00|16|Chen Xiaoxin|none|21|Hui Xirui [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|1:00|21|Chen Xiaoxin|none|16|Hui Xirui [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151111|0:14|21|Liu Yuchen|Ou Dongni|5|Ali Ahmed El Khateeb|Doha Hany|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151111|0:14|21|Liu Yuchen|Ou Dongni|3|Ali Ahmed El Khateeb|Doha Hany|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151111|0:20|21|Yoo Yeon Seong|Chang Ye Na|11|Abdelrahman Kashkal|Hadia Hosny|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151111|0:20|21|Yoo Yeon Seong|Chang Ye Na|11|Abdelrahman Kashkal|Hadia Hosny|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|doubles
20151112|0:51|21|Qiao Bin|none|15|Wang Tzu Wei [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:51|21|Qiao Bin|none|18|Wang Tzu Wei [3]|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:17|21|Ren Pengbo|none|3|Abdelrahman Kashkal|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:17|21|Ren Pengbo|none|9|Abdelrahman Kashkal|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:24|21|Zhu Siyuan|none|7|Ali Ahmed El Khateeb|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:24|21|Zhu Siyuan|none|10|Ali Ahmed El Khateeb|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:57|15|Chen Hsiao Huan|none|21|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:57|21|Chen Hsiao Huan|none|18|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
20151112|0:57|21|Chen Hsiao Huan|none|15|Li Wenmei|none|04C5CA11-E6F6-42A9-9D9A-0375D903F24E|singles
