date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161214||21|Tian Houwei |none|15|Marc Zwiebler [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Tian Houwei |none|7|Marc Zwiebler [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Sung Ji Hyun |none|19|Ratchanok Intanon [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Sung Ji Hyun |none|12|Ratchanok Intanon [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Mads Conrad-Petersen |Mads Pieler Kolding|15|Takeshi Kamura [1]|Keigo Sonoda|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Mads Conrad-Petersen |Mads Pieler Kolding|17|Takeshi Kamura [1]|Keigo Sonoda|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Chris Adcock |Gabrielle Adcock|15|Kenta Kazuno [5/8]|Ayane Kurihara|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Chris Adcock |Gabrielle Adcock|9|Kenta Kazuno [5/8]|Ayane Kurihara|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Sun Yu |none|18|Carolina Marin [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||24|Sun Yu |none|22|Carolina Marin [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Jan O Jorgensen |none|8|Hu Yun [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Jan O Jorgensen |none|5|Hu Yun [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Son Wan Ho |none|10|Lee Chong Wei [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Son Wan Ho |none|16|Lee Chong Wei [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Kamilla Rytter Juhl |Christinna Pedersen|7|Vivian Hoo [5/8]|Khe Wei Woon|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Kamilla Rytter Juhl |Christinna Pedersen|17|Vivian Hoo [5/8]|Khe Wei Woon|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||12|Pusarla V. Sindhu |none|21|Akane Yamaguchi [2]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Pusarla V. Sindhu |none|8|Akane Yamaguchi [2]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Pusarla V. Sindhu |none|15|Akane Yamaguchi [2]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Chen Qingchen |Jia Yifan|18|Jung Kyung Eun [3/4]|Shin Seung Chan|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Chen Qingchen |Jia Yifan|13|Jung Kyung Eun [3/4]|Shin Seung Chan|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Viktor Axelsen |none|13|Ng Ka Long Angus [3/4]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Viktor Axelsen |none|17|Ng Ka Long Angus [3/4]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Joachim Fischer Nielsen |Christinna Pedersen|14|Ko Sung Hyun [1]|Kim Ha Na|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Joachim Fischer Nielsen |Christinna Pedersen|23|Ko Sung Hyun [1]|Kim Ha Na|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Joachim Fischer Nielsen |Christinna Pedersen|16|Ko Sung Hyun [1]|Kim Ha Na|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Zheng Siwei |Chen Qingchen|18|Lu Kai [2]|Huang Yaqiong|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||13|Zheng Siwei |Chen Qingchen|21|Lu Kai [2]|Huang Yaqiong|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Zheng Siwei |Chen Qingchen|14|Lu Kai [2]|Huang Yaqiong|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Tai Tzu Ying |none|16|He Bingjiao [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Tai Tzu Ying |none|13|He Bingjiao [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161214||21|Chang Ye Na |Lee So Hee|19|Luo Ying [5/8]|Luo Yu|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Chang Ye Na |Lee So Hee|15|Luo Ying [5/8]|Luo Yu|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||Walkover Win|V Shem Goh |Wee Kiong Tan|Walkover Loss|Mathias Boe [5/8]|Carsten Mogensen|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Praveen Jordan |Debby Susanto|11|Tontowi Ahmad [5/8]|Liliyana Natsir|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Praveen Jordan |Debby Susanto|12|Tontowi Ahmad [5/8]|Liliyana Natsir|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Marcus Fernaldi Gideon |Kevin Sanjaya Sukamuljo|18|Angga Pratama [5/8]|Ricky Karanda Suwardi|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||17|Marcus Fernaldi Gideon |Kevin Sanjaya Sukamuljo|21|Angga Pratama [5/8]|Ricky Karanda Suwardi|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Marcus Fernaldi Gideon |Kevin Sanjaya Sukamuljo|14|Angga Pratama [5/8]|Ricky Karanda Suwardi|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Chai Biao |Hong Wei|18|Li Junhui [5/8]|Liu Yuchen|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||16|Chai Biao |Hong Wei|21|Li Junhui [5/8]|Liu Yuchen|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Chai Biao |Hong Wei|15|Li Junhui [5/8]|Liu Yuchen|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Misaki Matsutomo |Ayaka Takahashi|19|Naoko Fukuman [5/8]|Kurumi Yonao|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161214||21|Misaki Matsutomo |Ayaka Takahashi|19|Naoko Fukuman [5/8]|Kurumi Yonao|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161215||21|Tian Houwei |none|15|Marc Zwiebler [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Tian Houwei |none|7|Marc Zwiebler [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Sung Ji Hyun |none|19|Ratchanok Intanon [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Sung Ji Hyun |none|12|Ratchanok Intanon [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Mads Conrad-Petersen |Mads Pieler Kolding|15|Takeshi Kamura [1]|Keigo Sonoda|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161215||21|Mads Conrad-Petersen |Mads Pieler Kolding|17|Takeshi Kamura [1]|Keigo Sonoda|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161215||21|Chris Adcock |Gabrielle Adcock|15|Kenta Kazuno [5/8]|Ayane Kurihara|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161215||21|Chris Adcock |Gabrielle Adcock|9|Kenta Kazuno [5/8]|Ayane Kurihara|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161215||21|Sun Yu |none|18|Carolina Marin [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||24|Sun Yu |none|22|Carolina Marin [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Jan O Jorgensen |none|8|Hu Yun [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Jan O Jorgensen |none|5|Hu Yun [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Son Wan Ho |none|10|Lee Chong Wei [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Son Wan Ho |none|16|Lee Chong Wei [5/8]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Kamilla Rytter Juhl |Christinna Pedersen|7|Vivian Hoo [5/8]|Khe Wei Woon|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161215||21|Kamilla Rytter Juhl |Christinna Pedersen|17|Vivian Hoo [5/8]|Khe Wei Woon|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
20161215||12|Pusarla V. Sindhu |none|21|Akane Yamaguchi [2]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Pusarla V. Sindhu |none|8|Akane Yamaguchi [2]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Pusarla V. Sindhu |none|15|Akane Yamaguchi [2]|none|F794939C-80B9-42B5-9BCB-97B1F842B8F1|singles
20161215||21|Chen Qingchen |Jia Yifan|18|Jung Kyung Eun [3/4]|Shin Seung Chan|F794939C-80B9-42B5-9BCB-97B1F842B8F1|doubles
