date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140715|0:17|21|Trawut Potieng|Kilasu Ostermeyer|10|Hok Man Lou|Teng Iok U|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:17|21|Trawut Potieng|Kilasu Ostermeyer|17|Hok Man Lou|Teng Iok U|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:31|9|Watchara Buranakuea|Phataimas Muenwong|21|U Ieong Iek|Kit Ieng Wong|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:31|21|Watchara Buranakuea|Phataimas Muenwong|19|U Ieong Iek|Kit Ieng Wong|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:31|21|Watchara Buranakuea|Phataimas Muenwong|13|U Ieong Iek|Kit Ieng Wong|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:21|21|Mayu Matsumoto|Wakana Nagahara|16|Hsuan-Yu Wendy Chen|Shuai Pei Ling|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:21|21|Mayu Matsumoto|Wakana Nagahara|13|Hsuan-Yu Wendy Chen|Shuai Pei Ling|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:25|21|Yuya Komatsuzaki|Misato Aratama|14|Kim Sung Hyo|Lee So Hee|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:25|21|Yuya Komatsuzaki|Misato Aratama|15|Kim Sung Hyo|Lee So Hee|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:40|22|Ronald Alexander|Melati Daeva Oktaviani|24|Patiphat Chalardchaleam|Jongkonphan Kittiharakul|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:40|21|Ronald Alexander|Melati Daeva Oktaviani|17|Patiphat Chalardchaleam|Jongkonphan Kittiharakul|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:40|21|Ronald Alexander|Melati Daeva Oktaviani|11|Patiphat Chalardchaleam|Jongkonphan Kittiharakul|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:43|15|Andrew Smith|none|21|Yi-Hsiang Yang|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:43|21|Andrew Smith|none|17|Yi-Hsiang Yang|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:43|21|Andrew Smith|none|17|Yi-Hsiang Yang|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:52|21|Mek Narongrit|none|10|Jimmy, Yu Lun Tay|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:52|18|Mek Narongrit|none|21|Jimmy, Yu Lun Tay|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:52|21|Mek Narongrit|none|15|Jimmy, Yu Lun Tay|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:27|21|Kantaphon Wangcharoen|none|18|Iikka Heino|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:27|21|Kantaphon Wangcharoen|none|15|Iikka Heino|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:32|21|June Wei Cheam|none|13|Kwang Hee Heo [8]|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:32|22|June Wei Cheam|none|20|Kwang Hee Heo [8]|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:35|21|Krit Tantianankul|none|13|Kay Ee Yeoh|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:35|16|Krit Tantianankul|none|21|Kay Ee Yeoh|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:35|21|Krit Tantianankul|none|12|Kay Ee Yeoh|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:40|18|Lu Chi Yuan|none|21|Jinn Yee Tan|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:40|21|Lu Chi Yuan|none|17|Jinn Yee Tan|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:40|21|Lu Chi Yuan|none|15|Jinn Yee Tan|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:34|21|Lin Gui Pu|none|17|Dong Hoon Kim [4]|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:34|21|Lin Gui Pu|none|12|Dong Hoon Kim [4]|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:21|21|Yang Chih Chieh|none|7|Wong Kin Yik [5]|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:21|21|Yang Chih Chieh|none|8|Wong Kin Yik [5]|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:24|21|Feng Tse Hsieh|none|19|Chang Tak Ching|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:24|21|Feng Tse Hsieh|none|17|Chang Tak Ching|none|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|singles
20140715|0:25|21|Yu-Wei Chiang|Yang Lee|14|Kenta Kazuno [3]|Kazushi Yamada|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
20140715|0:25|21|Yu-Wei Chiang|Yang Lee|18|Kenta Kazuno [3]|Kazushi Yamada|504BA051-AD30-4BA5-B15C-4BE8D430CC3C|doubles
