date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160913|0:20|21|Pang Ron Hoo|Sueh Jeou Tan|13|Fajar Andewa|Deha Rizka|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:20|21|Pang Ron Hoo|Sueh Jeou Tan|14|Fajar Andewa|Deha Rizka|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:41|21|Dheva Anrimusthi|Yastia Agustiani|18|M. Robby Darwis|Monika Insani|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:41|12|Dheva Anrimusthi|Yastia Agustiani|21|M. Robby Darwis|Monika Insani|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:41|22|Dheva Anrimusthi|Yastia Agustiani|20|M. Robby Darwis|Monika Insani|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:30|21|Hak Beom Lee|Min Ji Kim|18|Rizky Akbar Syukur|Defany Ifadh Nur Fhadhliah|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:30|21|Hak Beom Lee|Min Ji Kim|15|Rizky Akbar Syukur|Defany Ifadh Nur Fhadhliah|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913||Walkover Win|Abhinaya Rakan Adira|Dara Sri Yuliani|Walkover Loss|Indra Leonard Prasetya|Violita Dewi|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:24|21|Rehan Naufal Kusharjanto|Siti Fadia Silva Ramadhanti|16|Sang Pil Jeon|Ye Na Lee|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:24|21|Rehan Naufal Kusharjanto|Siti Fadia Silva Ramadhanti|14|Sang Pil Jeon|Ye Na Lee|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:57|24|Alfansyah Yunus Muhammad Yusril|Esterrina Agus|22|Emanuel Randhy Febrito|Virni Putri Jafar|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:57|11|Alfansyah Yunus Muhammad Yusril|Esterrina Agus|21|Emanuel Randhy Febrito|Virni Putri Jafar|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:57|21|Alfansyah Yunus Muhammad Yusril|Esterrina Agus|18|Emanuel Randhy Febrito|Virni Putri Jafar|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:25|21|Eng Cheong Ng|Lin Seah|16|Muhammad Yusuf Afandi|Palupi Nur Afifah|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:25|21|Eng Cheong Ng|Lin Seah|19|Muhammad Yusuf Afandi|Palupi Nur Afifah|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:15|21|Tang Jie Chen|Ee Wei Toh|7|Abiyyu Fauzan Majid|Triya Nursaadiyah|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|0:15|21|Tang Jie Chen|Ee Wei Toh|6|Abiyyu Fauzan Majid|Triya Nursaadiyah|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
20160913|1:00|17|Raynald Tangguh Hartanto|Marisa Vania Liske Teneh|21|Renaldi Samosir|Hediana Julimarbela|BB653B66-7080-43B8-9B98-37D1CBC9D744|doubles
