date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140825|0:39|21|Yip Pui Yin|none|15|Chloe Magee|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:39|21|Yip Pui Yin|none|15|Chloe Magee|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:01|22|Kristina Gavnholt|none|20|Jamie Subandhi|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:01|21|Kristina Gavnholt|none|23|Jamie Subandhi|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:01|21|Kristina Gavnholt|none|16|Jamie Subandhi|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:59|17|David Obernosterer|none|21|Daniel Paiola|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:59|21|David Obernosterer|none|11|Daniel Paiola|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:59|21|David Obernosterer|none|17|Daniel Paiola|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:46|21|Anders Kristiansen|Julie Houmann|16|Kona Tarun|Ashwini Ponnappa|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:46|27|Anders Kristiansen|Julie Houmann|25|Kona Tarun|Ashwini Ponnappa|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|1:05|18|Wei Nan|none|21|Kento Momota [13]|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:05|21|Wei Nan|none|18|Kento Momota [13]|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:05|21|Wei Nan|none|12|Kento Momota [13]|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:45|19|Niclas Nohr|Sara Thygesen|21|Ross Smith|Renuga Veeran|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:45|21|Niclas Nohr|Sara Thygesen|8|Ross Smith|Renuga Veeran|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:45|21|Niclas Nohr|Sara Thygesen|16|Ross Smith|Renuga Veeran|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:19|21|Jakub Bitman|Alzbeta Basova|12|Abdelrahman Kashkal|Hadia Hosny|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:19|21|Jakub Bitman|Alzbeta Basova|13|Abdelrahman Kashkal|Hadia Hosny|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:40|21|Jorrit De Ruiter|Samantha Barning|16|Peter Kaesbauer|Isabel Herttrich|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:40|22|Jorrit De Ruiter|Samantha Barning|20|Peter Kaesbauer|Isabel Herttrich|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:39|21|Jonathan Nordh|Emelie Lennartsson|18|Gideon Markus Fernaldi|Rizki Amelia Pradipta|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:39|21|Jonathan Nordh|Emelie Lennartsson|11|Gideon Markus Fernaldi|Rizki Amelia Pradipta|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:30|21|Natalia Perminova|none|12|Anna Rankin|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:30|21|Natalia Perminova|none|14|Anna Rankin|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:45|21|Karin Schnaase|none|15|Kirsty Gilmour|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:45|21|Karin Schnaase|none|15|Kirsty Gilmour|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:04|16|Chou Tien Chen|none|21|Raul Must|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:04|21|Chou Tien Chen|none|18|Raul Must|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|1:04|21|Chou Tien Chen|none|17|Raul Must|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:27|21|Vivian Hoo|Woon Khe Wei|11|Sarka Krizkova|Katerina Tomalova|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:27|21|Vivian Hoo|Woon Khe Wei|12|Sarka Krizkova|Katerina Tomalova|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:51|14|Liao Min Chun|Chen Hsiao Huan|21|Kim Ki Jung|Kim So Young|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:51|21|Liao Min Chun|Chen Hsiao Huan|15|Kim Ki Jung|Kim So Young|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:51|21|Liao Min Chun|Chen Hsiao Huan|18|Kim Ki Jung|Kim So Young|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:27|21|Chris Langridge|Heather Olver|6|Toby Ng|Bruce Alex|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:27|21|Chris Langridge|Heather Olver|13|Toby Ng|Bruce Alex|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:42|21|Pai Hsiao Ma|none|14|Fabiana Silva|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:42|21|Pai Hsiao Ma|none|14|Fabiana Silva|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:34|21|Wang Zhengming |none|15|Michal Rogalski|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:34|21|Wang Zhengming |none|12|Michal Rogalski|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:39|23|Petya Nedelcheva|none|21|Marija Ulitina|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:39|22|Petya Nedelcheva|none|20|Marija Ulitina|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825||Walkover Win|Beatriz Corrales|none|Walkover Loss|Busanan Ongbumrungpan|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:33|21|Erik Meijs|none|16|Joe Wu|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:33|21|Erik Meijs|none|13|Joe Wu|none|09C98312-A11A-4F8B-9CF9-0926A1777ADA|singles
20140825|0:34|21|Tan Aik Quan|Lai Pei Jing|14|Chan Yun Lung|Tse Ying Suet|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
20140825|0:34|21|Tan Aik Quan|Lai Pei Jing|17|Chan Yun Lung|Tse Ying Suet|09C98312-A11A-4F8B-9CF9-0926A1777ADA|doubles
