date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190222|0:23|21|Wang Chang|Chen Yingxue|13|Salvador Franco|Candela Arcos|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222|0:23|21|Wang Chang|Chen Yingxue|11|Salvador Franco|Candela Arcos|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222||Walkover Win|Matteo Massetti|Judith Mair|Walkover Loss|Matthias Schnabel|Friederike Rudert|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222|0:29|21|Mikolaj Wrzalik|Weronika Gorniak|13|Alessandro Gozzini|Emma Piccinin|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222|0:29|19|Mikolaj Wrzalik|Weronika Gorniak|21|Alessandro Gozzini|Emma Piccinin|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222|0:29|21|Mikolaj Wrzalik|Weronika Gorniak|12|Alessandro Gozzini|Emma Piccinin|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222|0:25|21|Surasit Ariyabaraneekul|Atitaya Povanon|11|Jonas Østhassel|Sofia Macsali|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222|0:25|21|Surasit Ariyabaraneekul|Atitaya Povanon|13|Jonas Østhassel|Sofia Macsali|4A992ADB-1E74-43C4-83AA-801234F2F12F|doubles
20190222|0:25|21|Tomas Toledano |none|9|Artur Pechenkin|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:25|21|Tomas Toledano |none|16|Artur Pechenkin|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:19|21|Jaka Ivančič |none|12|Andreas Andersen|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:19|21|Jaka Ivančič |none|10|Andreas Andersen|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:15|21|Lenny Sudarma|none|5|Muath Alghamdi|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:15|21|Lenny Sudarma|none|2|Muath Alghamdi|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:22|21|Carlos Piris |none|14|Leo Hölzmer|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:22|21|Carlos Piris |none|10|Leo Hölzmer|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:46|21|Ludvig Smith-Meyer|none|19|Blaž Smrkolj|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:46|14|Ludvig Smith-Meyer|none|21|Blaž Smrkolj|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:46|21|Ludvig Smith-Meyer|none|18|Blaž Smrkolj|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:15|21|Li Yunze |none|2|Markus Kivistik|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:15|21|Li Yunze |none|5|Markus Kivistik|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:23|21|Enrico Baroni |none|16|Nils Harzenmoser|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:23|21|Enrico Baroni |none|10|Nils Harzenmoser|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:42|22|Robby Bronselaer|none|20|Antonio Iglesias|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:42|14|Robby Bronselaer|none|21|Antonio Iglesias|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:42|22|Robby Bronselaer|none|20|Antonio Iglesias|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:32|21|Li Xiang|none|11|Finn Achthoven [11]|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:32|21|Li Xiang|none|13|Finn Achthoven [11]|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:18|21|Alexandre Briguet|none|10|Safin Emran|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:18|21|Alexandre Briguet|none|14|Safin Emran|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:20|21|Liu Liang |none|9|Martin Barbado|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:20|21|Liu Liang |none|11|Martin Barbado|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:35|11|Yul Schmid|none|21|Robin Mesman|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:35|21|Yul Schmid|none|9|Robin Mesman|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:35|21|Yul Schmid|none|17|Robin Mesman|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:22|21|Sergio Vidal |none|9|Nikita Makoveev|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:22|21|Sergio Vidal |none|19|Nikita Makoveev|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:30|21|Mikolaj Piorkowski|none|15|Orestis Pissis|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:30|21|Mikolaj Piorkowski|none|18|Orestis Pissis|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:18|21|Kevin Hargiono|none|10|Jan Babnik|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:18|21|Kevin Hargiono|none|3|Jan Babnik|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:27|21|Aleksei Shestirko|none|18|Artur Ajupov [14]|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
20190222|0:27|23|Aleksei Shestirko|none|21|Artur Ajupov [14]|none|4A992ADB-1E74-43C4-83AA-801234F2F12F|singles
