date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150918|0:36|21|Abigail Holden|Samodani Wijetunge|19|Evie Burbidge|Joke De Langhe|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:36|15|Abigail Holden|Samodani Wijetunge|21|Evie Burbidge|Joke De Langhe|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:36|21|Abigail Holden|Samodani Wijetunge|17|Evie Burbidge|Joke De Langhe|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:20|21|Fee Teng Liew|Lizzie Tolman|7|Maria Alexandra Dutu|Ioana Ionica|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:20|21|Fee Teng Liew|Lizzie Tolman|14|Maria Alexandra Dutu|Ioana Ionica|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:43|21|Sian Kelly|Freya Patel-Redfearn|17|Runa Plützer|Annika Schreiber|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:43|17|Sian Kelly|Freya Patel-Redfearn|21|Runa Plützer|Annika Schreiber|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:43|21|Sian Kelly|Freya Patel-Redfearn|18|Runa Plützer|Annika Schreiber|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918||Walkover Win|Gisca Florentin|Grosu Mihai|Walkover Loss|Felix Hammes|Lukas Resch|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:26|21|Stine Susan Küspert|Miranda Wilson|13|Marie Demeyere|Lotte Derudder|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:26|21|Stine Susan Küspert|Miranda Wilson|15|Marie Demeyere|Lotte Derudder|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:38|21|Madouc Linders|Alyssa Tirtosentono|17|Jade Blondeel|Marthe Tack|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
20150918|0:38|20|Madouc Linders|Alyssa Tirtosentono|22|Jade Blondeel|Marthe Tack|9EAEE3F2-BCCE-4FCF-A4B9-B5920E202DC2|doubles
